Locat Latitude LatitudeM Longitude LongitudeM YEAR TMIN TMINM TMAX TMAXM RAIN RRAINM RHUM RHUMM PAR SRAD
Abuja 9.0738 7.343334  7.4651 9.163789 2017 21.0535342465753 23.1301369863014 31.5108219178082 32.641095890411 1190.9 1208.7 68.018602739726 67.6924657534247 98.6240547945205 5119.35342465753
Abuja 9.0738 7.343334  7.4651 9.163789 2018 21.1475068493151 22.6221917808219 31.6804383561644 32.4934246575342 1015.47 1328.2 67.6957808219178 69.3634246575343 96.7398904109589 5208.82246575342
Abuja 9.0738 7.343334  7.4651 9.163789 2019 21.4967945205479 23.0712328767123 31.877095890411 32.5698630136986 1302.21 1934.2 67.0620547945205 69.1257534246575 96.1840821917808 5134.34
Abuja 9.0738 7.343334  7.4651 9.163789 2020 20.5860655737705 23.1422456140351 31.0474590163934 32.9556140350877 1389.9 1189.95 70.0554098360656 70.2734385964912 99.1059836065574 5199.61635087719
Ago-Owo 7.2552 7.202178  4.3225 4.166019 2017 21.9550136986301 24.1643835616438 29.2310410958904 32.8958904109589 1757.25 1320.9 86.3917808219178 73.1119178082192 88.1820273972603 5388.97397260274
Ago-Owo 7.2552 7.202178  4.3225 4.166019 2018 21.5830410958904 23.5857534246575 28.935698630137 31.9698630136986 2210.18 1729.7 85.8053424657534 74.7632876712329 86.8473424657534 5295.34602739726
Ago-Owo 7.2552 7.202178  4.3225 4.166019 2019 21.968301369863 23.9213698630137 28.9772876712329 31.9706849315068 2526.43 1654.2 86.950904109589 75.8808219178082 88.1523561643836 5438.04109589041
Ago-Owo 7.2552 7.202178  4.3225 4.166019 2020 21.5143989071038 23.7539788732394 29.3052459016393 32.2620774647887 1705.74 1081.36 84.9698087431694 75.0864612676056 89.1248907103825 5460.26021126761
Ibadan 7.4661 7.493828  3.9302 3.900242 2017 22.1519178082192 23.9482191780822 29.5236712328767 32.9778082191781 1676.81 1085.5 85.792904109589 71.8947945205479 87.8020547945205 5411.67616438356
Ibadan 7.4661 7.493828  3.9302 3.900242 2018 21.7819452054795 23.3994520547945 29.2157808219178 32.0419178082192 1990.06 1433.6 85.4069863013699 73.6182191780822 89.0241643835616 5314.28739726027
Ibadan 7.4661 7.493828  3.9302 3.900242 2019 22.2138356164384 23.7372602739726 29.3393150684931 32.0827397260274 2257.1 1602 86.4939178082192 74.747397260274 89.148904109589 5460.38383561644
Ibadan 7.4661 7.493828  3.9302 3.900242 2020 21.7343989071038 23.5985915492958 29.6003278688525 32.2772887323944 1568.35 1121.47 84.7104098360656 74.0663556338028 89.3777868852459 5483.51281690141
Ikenne 6.8728 6.849067  3.7108 3.698877 2017 23.0124109589041 24.6676712328767 29.4199452054795 32.8380821917808 1638.52 1319 88.0468493150685 75.5549315068493 87.6874246575343 5341.11561643836
Ikenne 6.8728 6.849067  3.7108 3.698877 2018 22.6888767123288 24.1621917808219 29.1844657534247 32.0728767123288 1935.78 1684.3 87.664 76.9053424657534 89.2911506849315 5267.49123287671
Ikenne 6.8728 6.849067  3.7108 3.698877 2019 23.1138082191781 24.4383561643836 29.3345479452055 32.0712328767123 2284.06 1731.8 88.4406849315069 77.9521917808219 88.3508493150685 5333.86383561644
Ikenne 6.8728 6.849067  3.7108 3.698877 2020 22.5787704918033 24.2284507042254 29.4894808743169 32.3596478873239 1616.32 1176.73 87.0574043715847 76.5378873239437 91.189781420765 5401.3098943662
Kano 11.698 11.981733  7.704 8.557984 2017 19.0806301369863 21.0791780821918 32.0014520547945 34.3695890410959 854.84 827.7 50.7860547945205 44.2386301369863 106.082575342466 5700.76575342466
Kano 11.698 11.981733  7.704 8.557984 2018 19.2019452054795 20.7150684931507 32.3050684931507 34.0958904109589 726.01 902.9 50.8366849315069 49.8219178082192 107.310356164384 6340.83369863014
Kano 11.698 11.981733  7.704 8.557984 2019 19.4803287671233 21.1915068493151 31.9830410958904 34.266301369863 909.73 1192.1 52.9215068493151 49.4760273972603 106.048273972603 6417.69671232877
Kano 11.698 11.981733  7.704 8.557984 2020 18.4641803278689 21.9017605633803 30.3507923497268 34.2226408450704 1407.79 1572.43 60.9708743169399 3.48683098591549 105.107486338798 6479.1085915493
Mokwa 9.3097 9.355362  5.0728 5.017075 2017 22.3774794520548 23.8893150684932 33.5607945205479 34.5076712328767 1030.54 1191.1 62.812301369863 60.9254794520548 99.6813150684931 5529.05369863014
Mokwa 9.3097 9.355362  5.0728 5.017075 2018 22.0300821917808 23.4386301369863 32.7827671232877 33.8082191780822 1183.96 1263.2 66.4702465753425 62.5706849315068 97.4332328767123 5565.33616438356
Mokwa 9.3097 9.355362  5.0728 5.017075 2019 22.1916712328767 23.8128767123288 32.7760273972603 33.958904109589 1094.53 1244 67.6848493150685 63.5045205479452 97.4941643835616 5652.78684931507
Mokwa 9.3097 9.355362  5.0728 5.017075 2020 21.5842349726776 24.0665614035088 32.9419945355191 33.9755087719298 1091.27 933.57 67.1481420765027 65.530649122807 99.1023770491803 5658.11336842105
Onne 4.7949 4.7203861  7.1691 7.1779611 2017 23.3369315068493 22.4567123287671 29.6502739726027 29.6619178082192 3018.69 2805.4 88.2537260273973 77.8265753424658 78.7124931506849 5076.22383561644
Onne 4.7949 4.7203861  7.1691 7.1779611 2018 23.0836712328767 21.7 29.558904109589 29.4312328767123 3029.42 3201.6 87.7052876712329 79.3045205479452 81.1270684931507 4926.94904109589
Onne 4.7949 4.7203861  7.1691 7.1779611 2019 23.2402191780822 21.973698630137 29.7051780821918 29.3169863013699 3286.85 3214.8 87.6832328767123 79.2756164383562 81.7659178082192 4543.86383561644
Onne 4.7949 4.7203861  7.1691 7.1779611 2020 23.0322404371585 21.9416901408451 29.8693442622951 30.0549647887324 3361.52 1736.2 87.0320765027322 79.3181514084507 82.403306010929 4573.91436619718
Otobi 7.1528 7.114381  8.2857 8.103829 2017 22.3924109589041 23.3769863013699 30.8846849315069 32.38 1162.97 1169.7 77.8998630136986 69.6079452054795 96.1263835616438 5145.83671232877
Otobi 7.1528 7.114381  8.2857 8.103829 2018 22.1924931506849 22.7252054794521 31.1212876712329 32.0939726027397 1063.87 1319.6 76.0419178082192 71.0495890410959 95.7561917808219 5174.98849315068
Otobi 7.1528 7.114381  8.2857 8.103829 2019 22.6641643835616 23.1421917808219 31.8012328767123 32.106301369863 954.7 1636.5 74.1086575342466 71.2512328767123 95.9262465753425 5097.04657534247
Otobi 7.1528 7.114381  8.2857 8.103829 2020 22.2746721311475 23.2002112676056 31.9724863387978 32.6326056338028 1002.9 1221.42 72.533306010929 72.6497535211268 98.7077595628415 5142.32982394366
Ubiaja 6.6702 6.67346659  6.3857 6.344474 2017 22.4350410958904 23.1778082191781 29.4704657534247 31.673698630137 2026.86 1578.8 85.6633424657534 72.2578082191781 88.3308767123288 5276.70136986301
