Clone,HWAMM,HWAMS,CWAMM,CWAMS,LAIXM,LAIXS,Year,Location,MeanROOT
TMS14F1262P0002,20.085,7.826,14.583,8.074,4,1.1,2017,IBADAN,9524
TMS14F1285P0017,14.5,8.832,7.042,3.991,8,0.9,2017,IBADAN,11933
TMS14F1291P0011,16.188,8.622,9.583,4.117,3,0.9,2017,IBADAN,10601
TMS14F1297P0019,12.3,14.772,5,6.261,5,1.3,2017,IBADAN,10416
TMS14F1300P0008,10.35,6.473,9.167,5.091,5,0.7,2017,IBADAN,10286
TMS14F1303P0012,17.475,7.587,9.229,3.985,4,0.9,2017,IBADAN,9861
TMS14F1306P0015,NA,10.293,NA,4.536,NA,1,2017,IBADAN,10078
TMS14F1306P0020,NA,7.836,NA,4.789,NA,0.9,2017,IBADAN,10451
TMS14F1310P0004,NA,6.534,NA,5.522,NA,0.8,2017,IBADAN,9273
TMS14F1311P0002,NA,7.728,NA,4.926,NA,0.6,2017,IBADAN,8860
TMS14F1312P0003,NA,7.728,NA,4.926,NA,0.6,2017,IBADAN,5401
IITA-TMS-IBA000070,19.598,9.339,6.726,5.137,5,0.7,2018,IBADAN,12227
IITA-TMS-IBA30572,13.945,6.969,9.823,9.454,3,1.5,2018,IBADAN,9141
IITA-TMS-IBA980581,13.473,13.375,8.441,6.33,4,1.1,2018,IBADAN,10073
IITA-TMS-IBA982101,12.288,9.377,9.094,6.849,3,1,2018,IBADAN,9484
TMEB419,12.326,14.855,8.828,4.895,3,1.5,2018,IBADAN,10314
TMS13F1021P0008,20.129,12.066,7.826,4.943,4,0.9,2018,IBADAN,11206
TMS13F1049P0001,13.441,7.167,6.681,3.27,1,0.9,2018,IBADAN,10322
TMS13F1114P0001,15.432,12.833,8.326,4.848,4,1.4,2018,IBADAN,10138
TMS13F1182P0002,14.316,7.832,9.674,5.075,5,1.1,2018,IBADAN,11409
TMS13F1304P0003,20.428,11.276,6.646,4.29,2,0.8,2018,IBADAN,13306
TMS13F1315P0008,15.883,10.176,9.514,5.604,2,1,2018,IBADAN,9908
TMS13F1376P0018,19.474,8.786,4.625,4.117,NA,1,2018,IBADAN,12779
TMS13F1400P0001,10.535,9.134,8.514,4.304,4,1,2018,IBADAN,9936
TMS13F1461P0002,11.315,12.833,7.792,4.848,5,1.4,2018,IBADAN,11689
TMS13F2061P0005,12.111,10.831,8.09,4.895,3,0.8,2018,IBADAN,10276
TMS13F2207P0001,20.434,12.096,9.271,4.706,5,0.9,2018,IBADAN,12634
TMS14F1001P0004,19.194,9.167,8.361,4.33,3,1,2018,IBADAN,10561
TMS14F1013P0007,13.33,8.435,6.59,3.954,3,1,2018,IBADAN,9523
TMS14F1016P0006,24.604,9.743,8.194,4.601,13,1,2018,IBADAN,11269
TMS14F1019P0015,18.476,8.385,9.823,3.942,3,1,2018,IBADAN,11529
TMS14F1022P0003,17.503,8.752,5.66,4.085,2,1,2018,IBADAN,10660
TMS14F1022P0006,22.827,10.117,7.59,4.806,8,1,2018,IBADAN,12806
TMS14F1035P0004,21.854,13.547,5.25,6.774,5,1.4,2018,IBADAN,12932
TMS14F1035P0007,20.441,12.967,6.868,5.277,5,1.1,2018,IBADAN,10891
TMS14F1036P0007,22.64,11.385,11.278,7.148,5,1,2018,IBADAN,10008
TMS14F1049P0001,13.785,6.421,7.25,5.68,6,0.8,2018,IBADAN,10592
TMS14F1120P0003,12.946,5.217,7.007,7.25,4,0.9,2018,IBADAN,10060
TMS14F1125P0010,17.841,10.778,7.368,4.86,3,0.8,2018,IBADAN,10855
TMS14F1146P0002,15.149,8.944,5.875,4.991,NA,1,2018,IBADAN,10645
TMS14F1159P0003,11.622,7.607,6.312,3.971,3,1.1,2018,IBADAN,9878
TMS14F1194P0002,11.635,6.951,8.562,5.211,NA,0.8,2018,IBADAN,11299
TMS14F1195P0004,10.86,8.181,7.188,4.75,2,0.9,2018,IBADAN,10657
TMS14F1195P0005,16.551,12.041,6.819,6.534,4,0.9,2018,IBADAN,10320
TMS14F1223P0007,18.802,10.637,4.861,4.774,3,0.8,2018,IBADAN,10218
TMS14F1262P0002,18.393,7.939,7.785,8.14,4,1.2,2018,IBADAN,9524
TMS14F1278P0003,14.786,8.827,5.507,5.685,2,0.9,2018,IBADAN,10285
TMS14F1285P0017,17.392,9.147,4.604,4.048,NA,1,2018,IBADAN,11933
TMS14F1287P0008,17.799,11.089,9.417,4.243,7,1.2,2018,IBADAN,11164
TMS14F1288P0008,13.304,10.948,9.865,4.603,1,0.8,2018,IBADAN,10346
TMS14F1291P0003,18.923,6.042,5.806,4.867,NA,0.7,2018,IBADAN,10966
TMS14F1291P0011,14.717,8.902,5.042,4.178,6,1,2018,IBADAN,10601
TMS14F1291P0012,16.071,22.206,7.792,12.438,1,1.9,2018,IBADAN,11512
TMS14F1295P0012,10.544,7.35,8.906,5.605,4,0.8,2018,IBADAN,9592
TMS14F1297P0019,13.983,15.086,9.16,6.301,4,1.5,2018,IBADAN,10416
TMS14F1299P0007,15.89,6.497,8.219,4.988,NA,0.8,2018,IBADAN,10588
TMS14F1300P0002,15.678,9.211,9.097,6.762,4,1,2018,IBADAN,10443
TMS14F1300P0008,17.95,6.787,8.944,5.234,NA,0.8,2018,IBADAN,10286
TMS14F1301P0004,16.455,11.066,7.646,3.91,8,0.8,2018,IBADAN,9902
TMS14F1301P0013,16.499,12.272,9.042,4.573,8,0.9,2018,IBADAN,9575
TMS14F1303P0012,14.478,7.878,8.427,4.047,7,1.1,2018,IBADAN,9861
TMS14F1306P0008,19.343,11.559,8.875,4.776,3,0.9,2018,IBADAN,10244
TMS14F1306P0015,16.77,10.95,8.583,4.625,3,1.1,2018,IBADAN,10078
TMS14F1306P0020,15.842,8.629,5.514,4.96,5,1,2018,IBADAN,10451
TMS14F1310P0004,19.443,6.952,7.521,5.609,NA,0.9,2018,IBADAN,9273
TMS14F1310P0015,18.289,10.524,9.243,5.104,5,0.8,2018,IBADAN,9280
TMS14F1311P0002,17.622,8.499,7.229,5.054,4,0.7,2018,IBADAN,8860
TMS14F1312P0003,NA,8.499,NA,5.054,NA,0.7,2018,IBADAN,5401
IITA-TMS-IBA000070,12.358,8.121,5.438,4.716,5,0.8,2019,IBADAN,12227
IITA-TMS-IBA30572,6.074,6.75,6.271,9.107,3,1.6,2019,IBADAN,9141
IITA-TMS-IBA980581,8.226,11.863,9.49,5.912,4,1.2,2019,IBADAN,10073
IITA-TMS-IBA982101,7.716,10.02,13.156,6.614,3,1.1,2019,IBADAN,9484
TMEB419,10.342,13.975,9.181,4.668,3,1.6,2019,IBADAN,10314
TMS13F1021P0008,6.99,11.253,7.542,4.5,4,1,2019,IBADAN,11206
TMS13F1049P0001,10.551,7.806,7.208,3.137,4,1,2019,IBADAN,10322
TMS13F1114P0001,8.82,12.958,6.938,4.714,5,1.5,2019,IBADAN,10138
TMS13F1126P0003,8.569,6.688,7.958,4.27,2,0.8,2019,IBADAN,9611
TMS13F1182P0002,9.611,8.055,14.01,4.92,2,1.2,2019,IBADAN,11409
TMS13F1304P0003,10.169,10.431,3.833,3.989,NA,0.9,2019,IBADAN,13306
TMS13F1315P0008,7.763,9.663,7.594,5.424,5,1,2019,IBADAN,9908
TMS13F1376P0018,7.05,8.813,5.312,3.922,3,1,2019,IBADAN,12779
TMS13F1400P0001,8.095,9.016,10.625,4.075,5,1,2019,IBADAN,9936
TMS13F1461P0002,10.166,12.958,7.417,4.714,3,1.5,2019,IBADAN,11689
TMS13F2061P0005,11.528,9.547,9.375,4.405,2,0.9,2019,IBADAN,10276
TMS13F2207P0001,9.123,11.04,8.375,4.271,2,1,2019,IBADAN,12634
TMS14F1001P0004,11.424,9.029,6.438,4.096,13,1,2019,IBADAN,10561
TMS14F1013P0007,10.616,8.556,6.833,3.749,2,1,2019,IBADAN,9523
TMS14F1014P0016,8.631,8.605,5.094,3.79,8,1,2019,IBADAN,10223
TMS14F1014P0017,11.789,9.2,5.958,4.206,5,1,2019,IBADAN,10173
TMS14F1016P0006,8.289,9.267,4.719,4.299,5,1,2019,IBADAN,11269
TMS14F1019P0015,11.243,8.552,8.312,3.755,5,1,2019,IBADAN,11529
TMS14F1022P0003,5.75,8.657,6.948,3.84,6,1,2019,IBADAN,10660
TMS14F1022P0006,8.61,9.398,10.792,4.453,4,1,2019,IBADAN,12806
TMS14F1035P0004,10.161,13.01,5.875,6.51,3,1.6,2019,IBADAN,12932
TMS14F1035P0007,8.463,12.5,5.021,5.164,3,1.1,2019,IBADAN,10891
TMS14F1036P0007,8.727,10.71,9.031,6.79,NA,1.1,2019,IBADAN,10008
TMS14F1049P0001,8.413,7.182,7.552,5.447,4,1,2019,IBADAN,10592
TMS14F1098P0013,10.014,9.543,4.562,4.384,2,0.9,2019,IBADAN,11532
TMS14F1120P0003,9.311,6.004,7.854,6.905,6,1,2019,IBADAN,10060
TMS14F1125P0010,8.834,9.545,3.708,4.394,3,0.9,2019,IBADAN,10855
TMS14F1131P0001,13.213,9.061,9.75,4.856,4,1,2019,IBADAN,10573
TMS14F1146P0002,8.072,9.119,3.854,4.846,NA,1.1,2019,IBADAN,10645
TMS14F1159P0003,7.142,7.959,13.812,3.861,1,1.1,2019,IBADAN,9878
TMS14F1194P0002,7.678,7.213,5.719,4.901,NA,0.9,2019,IBADAN,11299
TMS14F1195P0004,11.885,7.643,9.875,4.529,1,1,2019,IBADAN,10657
TMS14F1195P0005,5.717,10.996,10.542,6.343,4,0.9,2019,IBADAN,10320
TMS14F1196P0003,10.283,8.71,5.167,5.282,4,0.9,2019,IBADAN,10276
TMS14F1208P0007,10.631,5.395,10.417,5.44,4,0.8,2019,IBADAN,9351
TMS14F1223P0007,12.853,9.539,7.312,4.368,8,0.9,2019,IBADAN,10218
TMS14F1262P0002,9.121,8.969,7.979,7.862,8,1.4,2019,IBADAN,9524
TMS14F1278P0003,8.488,9.483,8.083,5.498,3,1,2019,IBADAN,10285
TMS14F1285P0006,8.938,10.365,7.792,4.016,3,1.3,2019,IBADAN,11588
TMS14F1285P0017,6.646,9.474,4.219,3.866,5,1.1,2019,IBADAN,11933
TMS14F1287P0008,8.632,11.536,6.812,4.134,5,1.3,2019,IBADAN,11164
TMS14F1288P0008,8.801,9.58,5.292,4.079,4,0.8,2019,IBADAN,10346
TMS14F1291P0003,NA,5.77,NA,4.544,NA,0.8,2019,IBADAN,10966
TMS14F1291P0011,NA,8.872,NA,3.973,NA,1,2019,IBADAN,10601
TMS14F1291P0012,NA,18.424,NA,11.847,NA,2.4,2019,IBADAN,11512
TMS14F1292P0012,NA,8.767,NA,3.6,NA,0.8,2019,IBADAN,10410
TMS14F1295P0012,NA,7.275,NA,5.296,NA,0.9,2019,IBADAN,9592
TMS14F1297P0019,NA,14.958,NA,6.069,NA,1.7,2019,IBADAN,10416
TMS14F1299P0007,NA,6.79,NA,4.758,NA,0.9,2019,IBADAN,10588
TMS14F1300P0002,NA,9.381,NA,6.417,NA,1.2,2019,IBADAN,10443
TMS14F1300P0008,NA,6.471,NA,4.797,NA,0.9,2019,IBADAN,10286
TMS14F1301P0004,NA,10.168,NA,3.656,NA,0.9,2019,IBADAN,9902
TMS14F1301P0013,NA,11.507,NA,4.26,NA,1,2019,IBADAN,9575
TMS14F1303P0012,NA,8.046,NA,3.921,NA,1.1,2019,IBADAN,9861
TMS14F1306P0008,NA,10.369,NA,4.311,NA,0.9,2019,IBADAN,10244
TMS14F1306P0015,NA,10.929,NA,4.444,NA,1.2,2019,IBADAN,10078
TMS14F1306P0020,NA,9.196,NA,4.769,NA,1,2019,IBADAN,10451
TMS14F1310P0004,NA,7.213,NA,5.364,NA,1,2019,IBADAN,9273
TMS14F1310P0015,NA,9.759,NA,4.761,NA,0.9,2019,IBADAN,9280
TMS14F1311P0002,NA,7.926,NA,4.749,NA,0.8,2019,IBADAN,8860
TMS14F1312P0003,NA,7.926,NA,4.749,NA,0.8,2019,IBADAN,5401
IITA-TMS-IBA000070,12.814,9.047,7.917,5.152,5,0.7,2017,IKENNE,12227
IITA-TMS-IBA30572,8.75,6.823,8.333,9.437,3,1.5,2017,IKENNE,9141
IITA-TMS-IBA980581,10.4,13.338,7.396,6.39,4,1.1,2017,IKENNE,10073
IITA-TMS-IBA982101,10.555,9.19,9.167,6.816,3,1.1,2017,IKENNE,9484
TMEB419,9.775,15.053,7.812,4.938,3,1.5,2017,IKENNE,10314
TMS13F1021P0008,12.969,12.328,9.549,4.993,4,0.9,2017,IKENNE,11206
TMS13F1049P0001,7.656,7.529,7.812,3.311,4,0.9,2017,IKENNE,10322
TMS13F1114P0001,9.623,13.591,8.333,4.925,5,1.4,2017,IKENNE,10138
TMS13F1126P0003,12.589,6.574,10.069,4.404,5,0.8,2017,IKENNE,9611
TMS13F1182P0002,12.142,8.074,7.812,5.126,3,1.1,2017,IKENNE,11409
TMS13F1304P0003,13.097,11.468,10.417,4.35,5,0.8,2017,IKENNE,13306
TMS13F1315P0008,13.023,10.163,7.465,5.482,3,0.9,2017,IKENNE,9908
TMS13F1376P0018,13.296,9.153,6.458,4.1,13,1,2017,IKENNE,12779
TMS13F1400P0001,14.116,9.434,7.656,4.257,8,1,2017,IKENNE,9936
TMS13F1461P0002,14.428,13.591,5.347,4.925,5,1.4,2017,IKENNE,11689
TMS13F2061P0005,6.491,10.664,4.688,4.874,5,0.8,2017,IKENNE,10276
TMS13F2207P0001,14.861,12.244,9.132,4.742,5,0.9,2017,IKENNE,12634
TMS14F1001P0004,8.532,9.45,5.26,4.278,6,1,2017,IKENNE,10561
TMS14F1013P0007,5.147,8.786,7.76,3.94,4,1,2017,IKENNE,9523
TMS14F1014P0016,13.38,8.895,7.604,3.982,NA,1,2017,IKENNE,10223
TMS14F1014P0017,12.712,9.705,9.028,4.398,4,1,2017,IKENNE,10173
TMS14F1016P0006,12.435,9.925,4.965,4.515,3,1,2017,IKENNE,11269
TMS14F1019P0015,15.638,8.797,7.222,3.944,2,1,2017,IKENNE,11529
TMS14F1022P0003,13.634,9.051,8.229,4.052,4,1,2017,IKENNE,10660
TMS14F1022P0006,11.531,10.282,4.792,4.708,NA,1,2017,IKENNE,12806
TMS14F1035P0004,14.473,13.851,4.167,6.796,NA,1.4,2017,IKENNE,12932
TMS14F1035P0007,8.27,13.384,7.448,5.255,4,1.1,2017,IKENNE,10891
TMS14F1036P0007,10.278,11.76,10.069,7.157,4,1,2017,IKENNE,10008
TMS14F1049P0001,12.29,6.344,11.215,5.702,8,0.8,2017,IKENNE,10592
TMS14F1098P0013,17.062,10.598,9.688,4.821,3,0.8,2017,IKENNE,11532
TMS14F1120P0003,12.129,5.415,8.125,7.356,3,0.9,2017,IKENNE,10060
TMS14F1125P0010,13.128,10.631,6.424,4.847,5,0.8,2017,IKENNE,10855
TMS14F1131P0001,7.488,8.86,8.924,5,5,0.9,2017,IKENNE,10573
TMS14F1146P0002,10.306,9.041,9.097,4.953,4,1,2017,IKENNE,10645
TMS14F1159P0003,NA,7.963,NA,4.023,NA,1.1,2017,IKENNE,9878
TMS14F1194P0002,NA,6.84,NA,5.081,NA,0.8,2017,IKENNE,11299
TMS14F1195P0004,NA,8.44,NA,4.778,NA,0.9,2017,IKENNE,10657
TMS14F1195P0005,NA,12.731,NA,6.538,NA,0.9,2017,IKENNE,10320
TMS14F1196P0003,NA,9.466,NA,5.697,NA,0.8,2017,IKENNE,10276
TMS14F1208P0007,NA,5.303,NA,5.689,NA,0.8,2017,IKENNE,9351
TMS14F1223P0007,NA,10.547,NA,4.781,NA,0.8,2017,IKENNE,10218
TMS14F1224P0004,NA,2.308,NA,10.787,NA,0.7,2017,IKENNE,10673
TMS14F1262P0002,NA,7.948,NA,8.207,NA,1.2,2017,IKENNE,9524
TMS14F1278P0003,NA,9.008,NA,5.729,NA,0.9,2017,IKENNE,10285
TMS14F1285P0006,NA,10.22,NA,4.113,NA,1.2,2017,IKENNE,11588
TMS14F1285P0017,NA,9.561,NA,4.086,NA,1,2017,IKENNE,11933
TMS14F1287P0008,NA,11.211,NA,4.278,NA,1.2,2017,IKENNE,11164
TMS14F1288P0008,NA,11.02,NA,4.594,NA,0.8,2017,IKENNE,10346
TMS14F1291P0003,NA,6.117,NA,4.771,NA,0.7,2017,IKENNE,10966
TMS14F1291P0011,NA,9.256,NA,4.155,NA,1,2017,IKENNE,10601
TMS14F1291P0012,NA,20.692,NA,11.948,NA,1.8,2017,IKENNE,11512
TMS14F1292P0012,NA,9.591,NA,3.92,NA,0.7,2017,IKENNE,10410
TMS14F1295P0012,NA,7.166,NA,5.569,NA,0.7,2017,IKENNE,9592
TMS14F1297P0019,NA,15.745,NA,6.375,NA,1.5,2017,IKENNE,10416
TMS14F1299P0007,NA,6.59,NA,5.02,NA,0.7,2017,IKENNE,10588
TMS14F1300P0002,NA,9,NA,6.695,NA,1,2017,IKENNE,10443
TMS14F1300P0008,NA,6.858,NA,5.093,NA,0.8,2017,IKENNE,10286
TMS14F1301P0004,NA,11.246,NA,3.974,NA,0.8,2017,IKENNE,9902
TMS14F1301P0013,NA,12.438,NA,4.63,NA,0.9,2017,IKENNE,9575
TMS14F1303P0012,NA,8.185,NA,4.089,NA,1.1,2017,IKENNE,9861
TMS14F1306P0008,NA,11.338,NA,4.737,NA,0.9,2017,IKENNE,10244
TMS14F1306P0015,NA,10.944,NA,4.569,NA,1.1,2017,IKENNE,10078
TMS14F1306P0020,NA,8.783,NA,4.985,NA,1,2017,IKENNE,10451
TMS14F1310P0004,NA,7.068,NA,5.634,NA,0.9,2017,IKENNE,9273
TMS14F1310P0015,NA,10.538,NA,5.16,NA,0.8,2017,IKENNE,9280
TMS14F1311P0002,NA,8.558,NA,5.119,NA,0.7,2017,IKENNE,8860
TMS14F1312P0003,NA,8.558,NA,5.119,NA,0.7,2017,IKENNE,5401
IITA-TMS-IBA000070,8.592,12.009,7.049,5.352,5,0.7,2018,IKENNE,12227
IITA-TMS-IBA30572,6.04,8.6,6.771,9.775,3,1.6,2018,IKENNE,9141
IITA-TMS-IBA980581,7.869,15.682,8.021,6.554,4,1.2,2018,IKENNE,10073
IITA-TMS-IBA982101,5.607,11.774,7.396,7.259,3,1.1,2018,IKENNE,9484
TMEB419,5.861,18.272,6.684,5.191,3,1.6,2018,IKENNE,10314
TMS13F1021P0008,7.925,15.109,6.042,5.31,4,1,2018,IKENNE,11206
TMS13F1049P0001,4.006,8.828,6.25,3.485,1,1,2018,IKENNE,10322
TMS13F1114P0001,4.4,15.125,5.66,5.072,4,1.5,2018,IKENNE,10138
TMS13F1126P0003,3.739,7.764,6.25,4.704,3,0.8,2018,IKENNE,9611
TMS13F1182P0002,5.688,9.556,8.646,5.291,5,1.2,2018,IKENNE,11409
TMS13F1304P0003,3.453,13.287,6.875,4.484,2,0.9,2018,IKENNE,13306
TMS13F1315P0008,3.427,11.72,4.931,5.965,2,1,2018,IKENNE,9908
TMS13F1376P0018,2.781,11.064,9.618,4.548,NA,1,2018,IKENNE,12779
TMS13F1400P0001,5.135,11.473,3.507,4.759,4,1,2018,IKENNE,9936
TMS13F1461P0002,4.215,15.125,6.771,5.072,5,1.5,2018,IKENNE,11689
TMS13F2061P0005,3.889,13.612,5,5.175,3,0.9,2018,IKENNE,10276
TMS13F2207P0001,7.814,14.682,6.319,4.987,5,0.9,2018,IKENNE,12634
TMS14F1001P0004,7.219,11.418,6.528,4.765,3,1,2018,IKENNE,10561
TMS14F1013P0007,5.086,10.57,8.073,4.325,3,1,2018,IKENNE,9523
TMS14F1014P0016,4.983,10.794,3.819,4.407,2,1,2018,IKENNE,10223
TMS14F1014P0017,4.033,11.821,5.625,4.949,2,1,2018,IKENNE,10173
TMS14F1016P0006,4.297,12.084,3.472,5.093,13,1,2018,IKENNE,11269
TMS14F1019P0015,4.109,10.515,5.451,4.312,3,1,2018,IKENNE,11529
TMS14F1022P0003,3.595,11.032,6.806,4.51,2,1,2018,IKENNE,10660
TMS14F1022P0006,4.419,12.697,3.125,5.377,8,1,2018,IKENNE,12806
TMS14F1035P0004,6.623,16.535,3.299,7.48,5,1.6,2018,IKENNE,12932
TMS14F1035P0007,5.908,15.485,4.618,5.638,5,1.1,2018,IKENNE,10891
TMS14F1036P0007,8.551,13.417,6.25,7.679,5,1.1,2018,IKENNE,10008
TMS14F1049P0001,4.961,8.16,5.625,6.143,6,1,2018,IKENNE,10592
TMS14F1098P0013,6.283,13.337,7.222,5.091,4,0.9,2018,IKENNE,11532
TMS14F1120P0003,4.409,6.994,6.84,7.754,4,1.1,2018,IKENNE,10060
TMS14F1125P0010,4.073,13.476,7.847,5.133,3,0.9,2018,IKENNE,10855
TMS14F1131P0001,7.333,10.638,3.542,5.375,3,1,2018,IKENNE,10573
TMS14F1146P0002,3.753,10.799,5.069,5.262,NA,1.1,2018,IKENNE,10645
TMS14F1159P0003,3.97,9.252,5.66,4.182,3,1.1,2018,IKENNE,9878
TMS14F1194P0002,6.165,8.362,4.722,5.511,NA,0.9,2018,IKENNE,11299
TMS14F1195P0004,3.264,10.214,5.625,5.025,2,1,2018,IKENNE,10657
TMS14F1195P0005,7.439,13.977,4.965,7.056,4,1,2018,IKENNE,10320
TMS14F1196P0003,2.812,11.36,6.181,5.908,2,0.9,2018,IKENNE,10276
TMS14F1208P0007,5.716,6.528,4.965,6.041,6,0.8,2018,IKENNE,9351
TMS14F1223P0007,6.286,13.12,3.819,5.028,3,0.9,2018,IKENNE,10218
TMS14F1224P0004,4.56,4.249,3.993,10.742,2,0.7,2018,IKENNE,10673
TMS14F1262P0002,8.247,10.212,4.792,8.859,4,1.4,2018,IKENNE,9524
TMS14F1278P0003,2.486,10.952,5.764,6.18,2,1.1,2018,IKENNE,10285
TMS14F1285P0006,4.757,12.068,6.215,4.355,2,1.3,2018,IKENNE,11588
TMS14F1285P0017,8.594,11.047,4.722,4.339,NA,1.1,2018,IKENNE,11933
TMS14F1287P0008,6.694,13.57,7.812,4.524,7,1.3,2018,IKENNE,11164
TMS14F1288P0008,2.688,13.976,3.75,4.846,1,0.8,2018,IKENNE,10346
TMS14F1291P0003,3.09,7.704,6.389,5.245,NA,0.8,2018,IKENNE,10966
TMS14F1291P0011,5.147,11.122,3.229,4.602,NA,1,2018,IKENNE,10601
TMS14F1291P0012,4.538,25.631,7.743,13.271,6,2.5,2018,IKENNE,11512
TMS14F1292P0012,6.875,11.367,8.75,4.064,3,0.8,2018,IKENNE,10410
TMS14F1295P0012,4.193,9.138,5.868,6.194,1,0.9,2018,IKENNE,9592
TMS14F1297P0019,5.438,18.875,7.361,6.901,4,1.8,2018,IKENNE,10416
TMS14F1299P0007,5.26,8.153,8.576,5.446,4,0.9,2018,IKENNE,10588
TMS14F1300P0002,5.172,11.349,4.896,7.563,NA,1.2,2018,IKENNE,10443
TMS14F1300P0008,5.875,8.402,6.562,5.757,4,0.9,2018,IKENNE,10286
TMS14F1301P0004,6.632,12.979,8.16,4.109,NA,0.9,2018,IKENNE,9902
TMS14F1301P0013,5.536,14.707,7.257,4.793,8,1,2018,IKENNE,9575
TMS14F1303P0012,6.265,9.522,6.493,4.262,8,1.1,2018,IKENNE,9861
TMS14F1306P0008,5.444,14.269,6.458,5.054,7,0.9,2018,IKENNE,10244
TMS14F1306P0015,8.993,12.874,7.812,4.876,3,1.2,2018,IKENNE,10078
TMS14F1306P0020,7.687,10.659,6.736,5.266,3,1,2018,IKENNE,10451
TMS14F1310P0004,4.867,8.649,4.722,5.914,5,1,2018,IKENNE,9273
TMS14F1310P0015,4.184,12.516,7.153,5.289,NA,0.9,2018,IKENNE,9280
TMS14F1311P0002,6.698,10.466,5.833,5.263,5,0.8,2018,IKENNE,8860
TMS14F1312P0003,6.541,10.467,6.181,5.262,4,0.8,2018,IKENNE,5401
IITA-TMS-IBA000070,16.143,10.917,14.444,5.344,5,0.7,2019,IKENNE,12227
IITA-TMS-IBA30572,10.164,7.688,16.597,9.876,3,1.6,2019,IKENNE,9141
IITA-TMS-IBA980581,12.693,14.482,15.844,6.547,4,1.2,2019,IKENNE,10073
IITA-TMS-IBA982101,12.538,11.09,19.125,7.34,3,1.1,2019,IKENNE,9484
TMEB419,14.173,16.802,16.135,5.113,3,1.5,2019,IKENNE,10314
TMS13F1021P0008,10.998,14.711,12.667,5.365,4,1,2019,IKENNE,11206
TMS13F1049P0001,11.915,8.377,16.396,3.487,1,1,2019,IKENNE,10322
TMS13F1114P0001,9.189,14.598,14.135,5.075,4,1.5,2019,IKENNE,10138
TMS13F1126P0003,14.468,7.114,16.771,4.674,3,0.8,2019,IKENNE,9611
TMS13F1182P0002,9.945,8.949,22.875,5.315,5,1.2,2019,IKENNE,11409
TMS13F1304P0003,25.83,12.586,17.208,4.487,2,0.9,2019,IKENNE,13306
TMS13F1315P0008,11.129,10.844,18.438,6.006,2,1,2019,IKENNE,9908
TMS13F1376P0018,23.523,10.024,15.188,4.511,NA,1,2019,IKENNE,12779
TMS13F1400P0001,9.201,10.304,23.646,4.713,4,1,2019,IKENNE,9936
TMS13F1461P0002,12.305,14.598,18.25,5.075,5,1.5,2019,IKENNE,11689
TMS13F2061P0005,9.47,12.325,17.604,5.14,3,0.9,2019,IKENNE,10276
TMS13F2207P0001,14.417,14.77,12.938,5.083,5,0.9,2019,IKENNE,12634
TMS14F1001P0004,12.462,10.366,17.042,4.744,3,1,2019,IKENNE,10561
TMS14F1013P0007,12.798,9.528,21.292,4.274,2,1,2019,IKENNE,9523
TMS14F1014P0016,12.251,9.71,13.167,4.349,13,1,2019,IKENNE,10223
TMS14F1014P0017,10.403,10.697,14.333,4.912,3,1,2019,IKENNE,10173
TMS14F1016P0006,12.26,10.793,15.344,5.032,8,1,2019,IKENNE,11269
TMS14F1019P0015,16.182,9.635,10.75,4.294,5,1,2019,IKENNE,11529
TMS14F1022P0003,14.823,10.073,14.417,4.484,5,1,2019,IKENNE,10660
TMS14F1022P0006,21.21,11.12,21.156,5.263,5,1,2019,IKENNE,12806
TMS14F1035P0004,11.236,14.866,17.844,7.305,6,1.6,2019,IKENNE,12932
TMS14F1035P0007,6.925,14.697,13.167,5.628,4,1.1,2019,IKENNE,10891
TMS14F1036P0007,4.096,12.112,21.438,7.785,4,1.1,2019,IKENNE,10008
TMS14F1049P0001,15.516,7.238,15.667,6.08,3,0.9,2019,IKENNE,10592
TMS14F1098P0013,18.655,12.099,16.333,5.058,3,0.9,2019,IKENNE,11532
TMS14F1120P0003,9.599,6.127,15.667,7.732,NA,1.1,2019,IKENNE,10060
TMS14F1125P0010,10.931,12.212,14.042,5.099,NA,0.9,2019,IKENNE,10855
TMS14F1131P0001,14.554,9.693,14.667,5.34,2,1,2019,IKENNE,10573
TMS14F1146P0002,12.718,10.054,18,5.239,4,1.1,2019,IKENNE,10645
TMS14F1159P0003,11.319,8.712,14.417,4.198,2,1.1,2019,IKENNE,9878
TMS14F1194P0002,13.041,7.644,13.125,5.483,6,0.9,2019,IKENNE,11299
TMS14F1195P0004,13.558,9.284,12.583,5.031,3,1,2019,IKENNE,10657
TMS14F1195P0005,11.915,12.846,9.302,7.182,2,0.9,2019,IKENNE,10320
TMS14F1196P0003,14.505,10.675,15.688,5.959,4,0.9,2019,IKENNE,10276
TMS14F1208P0007,10.367,5.855,11.104,6.082,2,0.8,2019,IKENNE,9351
TMS14F1223P0007,16.138,11.92,16.292,4.996,2,0.9,2019,IKENNE,10218
TMS14F1224P0004,19.085,4.433,11.542,11.139,NA,0.7,2019,IKENNE,10673
TMS14F1262P0002,5.332,9.056,4.688,8.793,1,1.3,2019,IKENNE,9524
TMS14F1278P0003,14.628,10.259,10.281,6.133,NA,1,2019,IKENNE,10285
TMS14F1285P0006,13.887,11.396,13.625,4.334,6,1.3,2019,IKENNE,11588
TMS14F1285P0017,15.337,10.246,12.646,4.314,1,1.1,2019,IKENNE,11933
