Clone,HWAMM,HWAMS,CWAMM,CWAMS,LAIXM,LAIXS,Year,Location,MeanROOT
TMS14F1306P0015,NA,9.6,NA,4.85,NA,1.2,2019,ABUJA,10078
TMS14F1306P0020,NA,7.457,NA,5.268,NA,1,2019,ABUJA,10451
TMS14F1310P0004,NA,5.773,NA,6.017,NA,1,2019,ABUJA,9273
TMS14F1310P0015,NA,8.802,NA,5.231,NA,0.9,2019,ABUJA,9280
TMS14F1311P0002,NA,7.27,NA,5.249,NA,0.8,2019,ABUJA,8860
TMS14F1312P0003,NA,7.274,NA,5.235,NA,0.8,2019,ABUJA,5401
IITA-TMS-IBA000070,12.289,6.2,10.122,4.113,5,0.6,2017,AGO-OWO,12227
IITA-TMS-IBA30572,11.962,6.342,18.906,8.258,3,1.5,2017,AGO-OWO,9141
IITA-TMS-IBA980581,8.787,10.326,10.312,5.575,4,1.1,2017,AGO-OWO,10073
IITA-TMS-IBA982101,8.906,7.974,13.188,5.733,3,1,2017,AGO-OWO,9484
TMEB419,10.781,11.825,10.807,4.408,3,1.5,2017,AGO-OWO,10314
TMS13F1021P0008,11.479,9.154,10.694,4.021,4,0.8,2017,AGO-OWO,11206
TMS13F1049P0001,12.337,6.779,11.91,2.801,1,0.9,2017,AGO-OWO,10322
TMS13F1114P0001,11.248,11.784,11.146,4.494,4,1.4,2017,AGO-OWO,10138
TMS13F1126P0003,12,5.997,7.917,3.909,3,0.8,2017,AGO-OWO,9611
TMS13F1182P0002,10.331,7.272,10.972,4.568,5,1.1,2017,AGO-OWO,11409
TMS13F1304P0003,13.233,8.681,9.861,3.696,2,0.8,2017,AGO-OWO,13306
TMS13F1315P0008,11.794,8.751,10.833,4.995,2,0.9,2017,AGO-OWO,9908
TMS13F1376P0018,12.375,7.477,5.208,3.356,NA,0.9,2017,AGO-OWO,12779
TMS13F1400P0001,11.812,7.641,14.583,3.473,4,0.9,2017,AGO-OWO,9936
TMS13F1461P0002,11.475,11.784,13.854,4.494,5,1.4,2017,AGO-OWO,11689
TMS13F2061P0005,7.866,8.013,10.868,3.964,3,0.7,2017,AGO-OWO,10276
TMS13F2207P0001,12.267,9.021,11.736,3.865,5,0.8,2017,AGO-OWO,12634
TMS14F1001P0004,13.704,7.677,12.5,3.493,3,0.9,2017,AGO-OWO,10561
TMS14F1013P0007,12.788,7.369,11.944,3.262,3,0.9,2017,AGO-OWO,9523
