source,Clone,TRNO,EXCODE,HWAMS,HWAMM,LAIXS,LAIXM,CWAMS,CWAMM
1,TMS14F1310P0015,65,UYAB1901CS,16568,9970,1.4,0,6176,3219
1,TMS14F1311P0002,66,UYAB1901CS,9311,11859,1,5,4883,4583
1,TMS14F1312P0003,67,UYAB1901CS,14614,6853,1.4,4,5795,2438
2,IITA-TMS-IBA000070,1,UYAG1701CS,11977,12289,2.1,5,6375,10122
2,IITA-TMS-IBA30572,2,UYAG1701CS,6430,8911,1,3,3726,13628
2,IITA-TMS-IBA980581,3,UYAG1701CS,7852,8661,1.2,4,4906,8958
2,IITA-TMS-IBA982101,4,UYAG1701CS,7759,8383,1,3,5816,12899
2,TMEB419,5,UYAG1701CS,10620,10763,1.7,3,5855,10451
2,TMS13F1021P0008,6,UYAG1701CS,5452,11479,1.1,4,5503,10694
2,TMS13F1049P0001,7,UYAG1701CS,5379,12337,0.9,1,4922,11910
2,TMS13F1114P0001,8,UYAG1701CS,6582,11248,1.1,4,5081,11146
2,TMS13F1126P0003,9,UYAG1701CS,6430,8748,1,3,3726,6667
2,TMS13F1182P0002,10,UYAG1701CS,6123,10331,1.3,5,6362,10972
2,TMS13F1304P0003,11,UYAG1701CS,7630,13233,1.3,2,4435,9861
2,TMS13F1315P0008,12,UYAG1701CS,6430,12053,1,2,3726,11042
2,TMS13F1376P0018,13,UYAG1701CS,20169,9262,1.5,0,8102,6667
2,TMS13F1400P0001,14,UYAG1701CS,6582,11812,1.1,4,5081,14583
2,TMS13F1461P0002,15,UYAG1701CS,6582,11475,1.1,5,5081,13854
2,TMS13F2061P0005,16,UYAG1701CS,6582,7866,1.1,3,5081,10868
2,TMS13F2207P0001,17,UYAG1701CS,11977,12267,2.1,5,6375,11736
2,TMS14F1001P0004,18,UYAG1701CS,7630,13704,1.3,3,4435,12500
2,TMS14F1013P0007,19,UYAG1701CS,6430,12788,1,3,3726,11944
2,TMS14F1014P0016,20,UYAG1701CS,6582,10673,1.1,2,5081,11424
2,TMS14F1014P0017,21,UYAG1701CS,6582,6625,1.1,2,5081,11250
2,TMS14F1016P0006,22,UYAG1701CS,7630,15349,1.3,13,4435,10938
2,TMS14F1019P0015,23,UYAG1701CS,6430,10550,1,3,3726,10903
2,TMS14F1022P0003,24,UYAG1701CS,6430,13062,1,2,3726,10208
2,TMS14F1022P0006,25,UYAG1701CS,6430,11593,1,8,3726,9896
2,TMS14F1035P0004,26,UYAG1701CS,8628,12298,1.1,5,3502,8542
2,TMS14F1035P0007,27,UYAG1701CS,7630,11206,1.3,5,4435,9132
2,TMS14F1036P0007,28,UYAG1701CS,11977,13686,2.1,5,6375,11111
2,TMS14F1049P0001,29,UYAG1701CS,6430,9120,1,6,3726,11076
