source,Df,Mean Sq,F value,P value,% of Total SS,Cumulative Proportion (%)
Genotype,66,37099171.6121552,0.8,0.9,2.6,NA
Environment,15,3032636292.52533,64.6,<0.001,48.2,NA
Interactions,990,46973995.0334628,NA,NA,49.2,NA
PC1,80,481079726.242049,67.1,<0.001,NA,82.8
PC2,78,26276205.2308145,3.7,<0.001,NA,87.2
Residuals,832,7173477.13432773,NA,NA,NA,NA
