plant_name,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,plant_number,FieldNotes,Picture,"stem number counting			|CO_334:0000129","branching level counting			|CO_334:0000079","number of forks on branching level 1 counting			|CO_334:0000522","number of forks on branching level 2 counting			|CO_334:0000523","number of forks on branching level 3 counting			|CO_334:0000524","number of forks on branching level 4 counting			|CO_334:0000524-Copy-(0)",Plant height at first branching  Level,Plant height at second branching  Level,Plant height at third branching  Level,Plant height at fourth branching  Level,"plant height with leaf in cm			|CO_334:0000123","number of nodes at branching level 1 counting			|CO_334:0000352","number of nodes at branching level 2 counting			|CO_334:0000363","number of nodes at branching level 3 counting			|CO_334:0000368","number of nodes at branching level 4 counting			|CO_334:0000383","days to first forking event visual observation			|CO_334:0000467","days to second forking event visual observation			|CO_334:0000468","days to senescence on the first branch visual observation			|CO_334:0000518","days to third forking event visual observation			|CO_334:0000469","leaf life span in days			|CO_334:0000049",Leaf Lobe Counting,"leaf_1 lobe length measurement in cm			|CO_334:0000164","leaf_1 lobe Width measurement in cm			|CO_334:0000164-Copy-(0)","leaf_2 lobe length measurement in cm			|CO_334:0000164-Copy-(0)","leaf_2 lobe Width measurement in cm			|CO_334:0000164-Copy-(1)","leaf_3 lobe length measurement in cm - Leaf 1		|CO_334:0000164-Copy-(1)","leaf_3 lobe width measurement in cm			|CO_334:0000165",notes,"stem diameter measurement in cm|month 5			|COMP:0000129",Section_1 from branching_1-2_diameter,section from Branching_2-3_diameter,section from Branching_3-4_diameter
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,1,,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,1,,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,1,,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,1,,1,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,1,,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,1,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,1,,1,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,1,,1,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,1,,1,1,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,1,,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,1,,1,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
