plant_name,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,plant_number,FieldNotes,Picture,"stem number counting			|CO_334:0000129","branching level counting			|CO_334:0000079","number of forks on branching level 1 counting			|CO_334:0000522","number of forks on branching level 2 counting			|CO_334:0000523","number of forks on branching level 3 counting			|CO_334:0000524","number of forks on branching level 4 counting			|CO_334:0000524-Copy-(0)",Plant height at first branching  Level,Plant height at second branching  Level,Plant height at third branching  Level,Plant height at fourth branching  Level,"plant height with leaf in cm			|CO_334:0000123","number of nodes at branching level 1 counting			|CO_334:0000352","number of nodes at branching level 2 counting			|CO_334:0000363","number of nodes at branching level 3 counting			|CO_334:0000368","number of nodes at branching level 4 counting			|CO_334:0000383","days to first forking event visual observation			|CO_334:0000467","days to second forking event visual observation			|CO_334:0000468","days to senescence on the first branch visual observation			|CO_334:0000518","days to third forking event visual observation			|CO_334:0000469","leaf life span in days			|CO_334:0000049",Leaf Lobe Counting,"leaf_1 lobe length measurement in cm			|CO_334:0000164","leaf_1 lobe Width measurement in cm			|CO_334:0000164-Copy-(0)","leaf_2 lobe length measurement in cm			|CO_334:0000164-Copy-(0)","leaf_2 lobe Width measurement in cm			|CO_334:0000164-Copy-(1)","leaf_3 lobe length measurement in cm - Leaf 1		|CO_334:0000164-Copy-(1)","leaf_3 lobe width measurement in cm			|CO_334:0000165",notes,"stem diameter measurement in cm|month 5			|COMP:0000129",Section_1 from branching_1-2_diameter,section from Branching_2-3_diameter,section from Branching_3-4_diameter
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,1,,1,1,3,4,,,3,2,3,3,0,,60,140,0,0,165,24,5,0,0,,,,,,9,14.5,5,14,4.7,14,4.3,,26.03,17.13,10.6,0
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,1,,1,1,3,5,,,1,2,3,3,0,,20,50,0,0,140,18,20,0,0,,,,,,9,14,4,15.5,4.8,13,3.8,,24.69,11.28,15.01,0
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,1,,1,1,4,1,,,5,2,3,2,0,,90,185,0,0,205,22,3,0,0,,,,,,7,16,4.3,15.5,5,15,4.5,,19.67,12.88,5.5,0
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,1,,1,1,4,2,,,4,2,3,2,0,,95,205,0,0,215,22,2,0,0,,,,,,7,17,5.6,14.5,4.5,14.5,4.3,,21.33,12.44,6.86,0
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,1,,1,1,4,3,,,2,2,2,2,0,,100,205,0,0,225,24,3,0,0,,,,,,9,18,6,22,6.5,16,5,,18.83,14.09,8.27,0
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,1,,1,1,4,4,,,3,1,2,0,0,0,160,0,0,0,210,7,0,0,0,,,,,,7,17.4,5.8,17,5,16.5,5,,15.71,8.7,0,0
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1303P0012_104,TMS14F1303P0012,104,1,,1,1,4,5,,,5,1,2,0,0,,165,0,0,0,210,8,0,0,0,,,,,,7,17,5.4,15.5,4.8,17.5,5.5,,15.17,8.71,0,0
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2207P0001_105_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2207P0001_105,TMS13F2207P0001,105,1,,1,1,5,1,,,4,1,2,0,0,,140,0,0,0,185,8,0,0,0,,,,,,7,16.5,4.3,16,4,13,3.5,,15.51,8.48,0,0
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2207P0001_105_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2207P0001_105,TMS13F2207P0001,105,1,,1,1,5,2,,,3,2,2,3,0,,105,190,0,0,200,16,1,0,0,,,,,,7,13,4,15.5,4,15,3.9,,15.61,15.01,8.46,0
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2207P0001_105_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2207P0001_105,TMS13F2207P0001,105,1,,1,1,5,3,,,1,1,3,0,0,0,125,,,,175,14,0,0,0,,,,,,7,17,4.8,14,3.5,15,4,,22.54,14.1,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2207P0001_105_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2207P0001_105,TMS13F2207P0001,105,1,,1,1,5,4,,,2,2,3,3,0,,105,175,,,200,20,3,0,0,,,,,,9,19,4.8,16,5,15.5,4.5,,25.79,15.36,12.71,0
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2207P0001_105_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS13F2207P0001_105,TMS13F2207P0001,105,1,,1,1,5,5,,,2,2,3,3,0,,110,155,0,0,170,23,2,0,0,,,,,,7,13,3.5,17,4.4,16,4,,21.45,13.15,6.59,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106,TMS14F1285P0017,106,1,,1,1,6,1,,,5,0,0,0,0,0,0,,,,130,0,0,0,0,,,,,,7,14.5,4.5,15,5,14.5,4.3,,14.92,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106,TMS14F1285P0017,106,1,,1,1,6,2,,,3,0,0,0,0,,0,,,,105,0,0,0,0,,,,,,7,14,4,16,4.5,15,4,,14.65,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106,TMS14F1285P0017,106,1,,1,1,6,3,,,3,0,0,0,0,,0,,,,125,0,0,0,0,,,,,,7,15,4.3,17,5.5,13,4.5,,19.18,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106,TMS14F1285P0017,106,1,,1,1,6,4,,,5,0,0,0,0,,0,,,,120,0,0,0,0,,,,,,7,16,4.5,14,4.4,13,4.5,,18.45,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106,TMS14F1285P0017,106,1,,1,1,6,5,,,4,0,0,0,0,,0,,,,110,0,0,0,0,,,,,,7,14,4.5,13,4.3,13,4.5,,17.26,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107,TMS14F1224P0004,107,1,,1,1,7,1,,,2,3,2,3,3,0,30,100,170,0,180,16,12,2,0,,,,,,7,14,4.5,12,3.4,16.3,5,,22.84,17.53,12.31,3.96
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107,TMS14F1224P0004,107,1,,1,1,7,2,,,1,3,2,4,3,0,35,60,75,0,145,15,10,2,0,,,,,,7,13,4,11,3,17,4.8,,22.92,16.82,10.04,4.96
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107,TMS14F1224P0004,107,1,,1,1,7,3,,,3,2,2,3,,0,60,115,0,0,145,14,7,0,0,,,,,,7,13,4,12,3.4,13,3.5,,14.8,16.96,4.97,0
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107,TMS14F1224P0004,107,1,,1,1,7,4,,,2,3,5,2,3,0,35,100,140,0,155,14,10,0,0,,,,,,7,13,4.5,13,3.8,11,3.1,,17.23,13.65,8.69,4.89
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107,TMS14F1224P0004,107,1,,1,1,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108,IITA-TMS-IBA980581,108,1,1,1,1,8,1,,,3,1,4,0,0,,135,0,0,0,160,12,0,0,0,,,,,,7,13.5,6.5,19,6.4,20,7,,22.58,12.36,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108,IITA-TMS-IBA980581,108,1,1,1,1,8,2,,,2,1,3,0,0,,95,,,,160,27,0,0,0,,,,,,9,18,6.5,18.5,6,17,6,,28.1,16.42,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108,IITA-TMS-IBA980581,108,1,1,1,1,8,3,,,4,0,0,0,0,,0,,,,140,0,0,0,0,,,,,,7,18,6,18.5,5.9,18,5.8,,17.58,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108,IITA-TMS-IBA980581,108,1,1,1,1,8,4,,,1,0,0,0,0,,0,,,,140,0,0,0,0,,,,,,7,17,5.7,17.5,6.2,18,6,,19.86,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-IITA-TMS-IBA980581_108,IITA-TMS-IBA980581,108,1,1,1,1,8,5,,,1,2,3,4,0,,70,135,0,0,175,15,24,0,0,,,,,,7,18,6,17,5.5,15,5.5,,32.21,13.71,14.83,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109,TMS14F1016P0006,109,1,,1,1,9,1,,,1,1,2,0,0,,75,,,,95,5,0,0,0,,,,,,7,13,4.5,13.5,4.4,13.5,5,,15.91,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1016P0006_109,TMS14F1016P0006,109,1,,1,1,9,2,,,2,1,2,0,0,,90,,,,115,8,0,0,8,,,,,,9,14.5,5,14,5.3,12,4.5,,15.92,,,
