plant_name,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,plant_number,branching level counting after 21 days|CO_334:0000079,number of nodes after Last branching Level,New nodes Counting after Tag,number of forks at new branching level if existing,New Branching Height if existing,plant height with leaf after 21 days in cm|CO_334:0000123,stem diameter measurement after 21 days,Branching_1-2_diameter after 21 days,Branching_2-3_diameter after 21 days,Branching_3-4_diameter after 21 days
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106,TMS14F1285P0017,106,1,,1,1,6,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106,TMS14F1285P0017,106,1,,1,1,6,2,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106,TMS14F1285P0017,106,1,,1,1,6,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106,TMS14F1285P0017,106,1,,1,1,6,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1285P0017_106,TMS14F1285P0017,106,1,,1,1,6,5,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107_plant_1,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107,TMS14F1224P0004,107,1,,1,1,7,1,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107_plant_2,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107,TMS14F1224P0004,107,1,,1,1,7,2,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107_plant_3,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107,TMS14F1224P0004,107,1,,1,1,7,3,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107_plant_4,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107,TMS14F1224P0004,107,1,,1,1,7,4,,,,,,,,,,
2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107_plant_5,2022-21.GS.C2.UYT.36.setA.IB-rep1-TMS14F1224P0004_107,TMS14F1224P0004,107,1,,1,1,7,5,,,,,,,,,,
