plant_name,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,plant_number,FieldNotes,Picture,"stem number counting			|CO_334:0000129","branching level counting			|CO_334:0000079","number of forks on branching level 1 counting			|CO_334:0000522","number of forks on branching level 2 counting			|CO_334:0000523","number of forks on branching level 3 counting			|CO_334:0000524","number of forks on branching level 4 counting			|CO_334:0000524-Copy-(0)",Plant height at first branching  Level,Plant height at second branching  Level,Plant height at third branching  Level,Plant height at fourth branching  Level,"plant height with leaf in cm			|CO_334:0000123","number of nodes at branching level 1 counting			|CO_334:0000352","number of nodes at branching level 2 counting			|CO_334:0000363","number of nodes at branching level 3 counting			|CO_334:0000368","number of nodes at branching level 4 counting			|CO_334:0000383","days to first forking event visual observation			|CO_334:0000467","days to second forking event visual observation			|CO_334:0000468","days to senescence on the first branch visual observation			|CO_334:0000518","days to third forking event visual observation			|CO_334:0000469","leaf life span in days			|CO_334:0000049",Leaf Lobe Counting,"leaf_1 lobe length measurement in cm			|CO_334:0000164","leaf_1 lobe Width measurement in cm			|CO_334:0000164-Copy-(0)","leaf_2 lobe length measurement in cm			|CO_334:0000164-Copy-(0)","leaf_2 lobe Width measurement in cm			|CO_334:0000164-Copy-(1)","leaf_3 lobe length measurement in cm - Leaf 1		|CO_334:0000164-Copy-(1)","leaf_3 lobe width measurement in cm			|CO_334:0000165",notes,"stem diameter measurement in cm|month 5			|COMP:0000129",Section_1 from branching_1-2_diameter,section from Branching_2-3_diameter,section from Branching_3-4_diameter
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_plant_1,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,1,,1,1,1,1,,,2,1,2,,,,135,,,,195,13,,,,,,,,,9,16.2,5.3,15.5,5.5,16,5.3,,19.85,11.03,,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_plant_2,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,1,,1,1,1,2,,,3,.,,,,,,,,,175,,,,,,,,,,8,15,5.6,16.3,5.6,13,4.7,,14.92,,,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_plant_3,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,1,,1,1,1,3,,,2,1,3,,,,150,,,,185,8,,,,,,,,,8,15,5.5,12,4.5,12.2,5.3,,15.88,8.13,,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_plant_4,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,1,,1,1,1,4,,,2,1,3,,,,130,,,,185,8,,,,,,,,,9,15.3,6.5,15.1,4.6,13,4.3,,16.17,10.17,,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_plant_5,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,1,,1,1,1,5,,,1,1,3,,,,100,,,,175,20,,,,,,,,,9,12.3,6.3,10,5.3,12,3.3,,20.29,10.29,,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_plant_1,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,1,,1,1,2,1,,,2,1,2,,,,85,,,,135,10,,,,,,,,,7,15,4.5,14.5,3.7,12.5,3.5,,15.44,7.52,,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_plant_2,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,1,,1,1,2,2,,,2,2,3,3,,,90,140,,,160,12,4,,,,,,,,7,14.3,5,10,3.5,12.3,3.7,,19.18,9.43,5.04,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_plant_3,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,1,,1,1,2,3,,,2,2,3,3,,,75,140,,,160,19,2,,,,,,,,7,16,4.5,15,4.1,11.2,3.5,,19.62,9.69,4.28,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_plant_4,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,1,,1,1,2,4,,,1,2,3,3,,,65,125,,,150,15,6,,,,,,,,7,17.5,4.3,15,4.3,11.5,3.4,,22.22,11.25,5.24,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_plant_5,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,1,,1,1,2,5,,,2,2,3,3,,,70,130,,,165,16,5,,,,,,,,7,18,5,15.7,4.3,13.3,4.2,,20.46,10.87,4.61,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_plant_1,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,1,,1,1,3,1,,,2,2,3,3,,,45,95,,,115,15,7,,,,,,,,8,20,5.8,15.5,4.5,13,3.9,,22.64,14,5.76,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_plant_2,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,1,,1,1,3,2,,,1,2,3,3,,,50,95,,,120,14,8,,,,,,,,7,18.4,5.2,16.7,4.5,16,4.2,,20.13,11.64,5.16,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_plant_3,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,1,,1,1,3,3,,,1,2,3,3,,,50,95,,,125,19,8,,,,,,,,7,18.2,5,13,3.9,12.3,3.5,,24.07,12.57,4.94,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_plant_4,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,1,,1,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_plant_5,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,1,,1,1,3,5,,,1,2,3,3,,,45,85,,,100,14,6,,,,,,,,7,19.4,5.5,14.7,3.9,10.5,2.9,,18.83,8.42,4.09,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_plant_1,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,1,,1,2,3,1,,,1,2,3,3,,,60,139,,,160,16,4,,,,,,,,7,16,5.5,13.9,4.4,12,5.5,,18.6,10.4,5.4,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_plant_2,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,1,,1,2,3,2,,,1,2,3,3,,,45,115,,,180,22,17,,,,,,,,7,24,7,14.7,4.7,12.4,3.7,,24.65,15.26,17.18,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_plant_3,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,1,,1,2,3,3,,,2,1,3,,,,120,,,,150,8,,,,,,,,,9,17.5,5.7,15.2,4.7,13.5,4.2,,18.35,6.89,,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_plant_4,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,1,,1,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104_plant_5,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS14F1195P0004_104,TMS14F1195P0004,104,1,,1,2,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS13F1304P0003_105_plant_1,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS13F1304P0003_105,TMS13F1304P0003,105,1,,1,2,2,1,,,2,1,2,,,,114,,,,140,3,,,,,,,,,9,14.3,4.7,15,5.1,11.7,4.2,,14.33,6.87,,
2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS13F1304P0003_105_plant_2,2022-21.GS.C2.UYT.36.setB.IB-rep1-TMS13F1304P0003_105,TMS13F1304P0003,105,1,,1,2,2,2,,,1,2,2,2,,,120,185,,,205,19,1,,,,,,,,9,19.4,5.5,14.9,4.9,14.9,4.5,,23.21,12.06,4.64,
