Location,RCB_3Min.Cor,RCB_3Msev.Cor,RCGM_1sev.Cor,RCGM_2sev.Cor,RCMO_1Min.Cor,RCMO_3Min.Cor,RCMO_1Msev.Cor,RCMO_3Msev.Cor
Ago-Owu,0.125712795899648,0.0914354264767517,-0.0701066097756758,-0.0594749189552936,-0.124771168351657,-0.0922443765152611,-0.0849705383672312,-0.0370219529457188
Ibadan,0.339195079256863,-0.00909175701465518,NA,-0.367607567270192,0.0500152437144789,0.0817881260054901,0.0844319732000785,0.0776436373304201
Ikenne,-0.0526843961941378,0.175313822668044,NA,-0.0180533480178308,-0.108983180646911,-0.0859615926503592,0.00267243872934152,-0.0344259108907779
Kano,-0.0387281625099715,0.0327021907886373,0.221366646293291,NA,-0.139258296636173,-0.193898943177636,-0.10177230051551,-0.151936585189347
Mokwa,0.204171278253682,0.186661040563777,-0.378828855350317,-0.218601567889456,0.00782195375971047,0.0572230143274605,0.0323056942610654,0.0253515010037391
Onne,0.0294637767363167,-0.0153101398546408,NA,NA,-0.00919022775952617,-0.00369581070944119,0.050900601121995,0.0378538747649959
Otobi,0.197427639684128,0.221938313265128,NA,NA,-0.0788860528369567,-0.0434168064751467,-0.0466644225887827,-0.0664743063139548
Umudike,0.0427088065416085,0.0179499742842203,NA,NA,-0.0594984215879864,-0.0658258599982318,-0.0422804096490156,-0.0160973522108771
