Df,Sum Sq,Mean Sq,F value,Pr(>F)
15,17402900207.1997,1160193347.14665,169.24830208828,1.27475739857203e-260
66,2661136628.32828,40320251.9443679,5.88189390857918,4.06571002301177e-38
990,6786427984.82003,6854977.76244448,NA,NA
80,1790603504.27725,22382543.8034656,5.17641532682227,0
78,990352518.832421,12696827.1645182,2.93639772643934,5.04041253179821e-14
76,736568280.867634,9691687.90615308,2.24139857652913,4.78636812406563e-08
756,3268903680.84273,4323946.66778138,NA,NA
