PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
5.20868084311305,3.87367283007105,3.34067739653075,3.14246017141017,2.78352984963652,2.57353333189241,2.45875993524662,2.29123708680135,1.90969298862365,1.75600311054211,1.58653636292861,1.43719116129888,1.15899991895234,1.03919391979367,0.501111328784651,2.80613773187035e-14
0.26385,0.14593,0.10854,0.09604,0.07535,0.06441,0.05879,0.05106,0.03547,0.02999,0.02448,0.02009,0.01306,0.0105,0.00244,0
0.26385,0.40978,0.51832,0.61436,0.68971,0.75412,0.81291,0.86397,0.89944,0.92942,0.9539,0.97399,0.98706,0.99756,1,1
