"accession_name","rep_number","plant_number","stem_nu","branching_point","branchpoint1_Fs","branchpoint2_Fs","branchpoint3_Fs","branchpoint4_Fs","branchpoint1_H","section1_H","section2_H","section3_H","plant_H","plant_H21","section1_Nod","section2_Nod","section3_Nod","section4_Nod","LlobesNo","Lob1L","Lob1W","Lob2L","Lob2W","Lob3L","Lob3W","stem_D","section1_D","section2_D","section3_D","New_nod"
"TMS14F1224P0004",1,2,1,3,2,4,3,NA,35,60,75,NA,145,NA,15,10,2,NA,7,13,4,11,3,17,4.8,22.92,16.82,10.04,4.96,NA
"TMS14F1224P0004",1,3,3,2,2,3,NA,NA,60,115,NA,NA,145,NA,14,7,NA,NA,7,13,4,12,3.4,13,3.5,14.8,16.96,4.97,NA,NA
"TMS14F1224P0004",1,4,2,3,5,2,3,NA,35,100,140,NA,155,NA,14,10,NA,NA,7,13,4.5,13,3.8,11,3.1,17.23,13.65,8.69,4.89,NA
"TMS14F1224P0004",1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IITA-TMS-IBA980581",1,1,3,1,4,NA,NA,NA,135,NA,NA,NA,160,NA,12,NA,NA,NA,7,13.5,6.5,19,6.4,20,7,22.58,12.36,NA,NA,NA
"IITA-TMS-IBA980581",1,2,2,1,3,NA,NA,NA,95,NA,NA,NA,160,NA,27,NA,NA,NA,9,18,6.5,18.5,6,17,6,28.1,16.42,NA,NA,NA
"IITA-TMS-IBA980581",1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,7,18,6,18.5,5.9,18,5.8,17.58,NA,NA,NA,NA
"IITA-TMS-IBA980581",1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,7,17,5.7,17.5,6.2,18,6,19.86,NA,NA,NA,NA
"IITA-TMS-IBA980581",1,5,1,2,3,4,NA,NA,70,135,NA,NA,175,NA,15,24,NA,NA,7,18,6,17,5.5,15,5.5,32.21,13.71,14.83,NA,NA
"TMS14F1016P0006",1,1,1,1,2,NA,NA,NA,75,NA,NA,NA,95,NA,5,NA,NA,NA,7,13,4.5,13.5,4.4,13.5,5,15.91,NA,NA,NA,NA
"TMS14F1016P0006",1,2,2,1,2,NA,NA,NA,90,NA,NA,NA,115,NA,8,NA,NA,8,9,14.5,5,14,5.3,12,4.5,15.92,NA,NA,NA,NA
"TMS14F1016P0006",1,3,4,1,3,NA,NA,NA,105,NA,NA,NA,120,NA,6,NA,NA,NA,7,13,5,12,4.5,13,5,14.47,6.39,NA,NA,NA
"TMS14F1016P0006",1,4,1,1,3,NA,NA,NA,100,NA,NA,NA,140,NA,10,NA,NA,NA,9,16.5,6,15,5,15.5,5,28.34,9.86,NA,NA,NA
"TMS14F1016P0006",1,5,3,1,3,NA,NA,NA,95,NA,NA,NA,105,NA,2,NA,NA,NA,6,13,4,11.5,4,13,4.5,14.6,5.15,NA,NA,NA
"TMS14F1300P0008",1,1,2,1,4,NA,NA,NA,90,NA,NA,NA,140,NA,14,NA,NA,NA,9,16.5,4.5,16,5,17,5,22.06,8.45,NA,NA,NA
"TMS14F1300P0008",1,2,3,1,2,NA,NA,NA,100,NA,NA,NA,110,NA,2,NA,NA,NA,7,13,4,12,4,12.5,4,11.73,6.9,NA,NA,NA
"TMS14F1300P0008",1,3,3,1,3,NA,NA,NA,70,NA,NA,NA,130,NA,18,NA,NA,NA,9,15.5,5,14.5,5.8,14,4.5,19.65,10.35,NA,NA,NA
"TMS14F1300P0008",1,4,2,1,3,NA,NA,NA,110,NA,NA,NA,150,NA,11,NA,NA,NA,9,16,5,16.4,5,15,4.3,17.31,10.56,NA,NA,NA
