"accession_name","rep_number","plant_number","stem_nu","branching_point","branchpoint1_Fs","branchpoint2_Fs","branchpoint3_Fs","branchpoint4_Fs","branchpoint1_H","section1_H","section2_H","section3_H","plant_H","plant_H21","section1_Nod","section2_Nod","section3_Nod","section4_Nod","LlobesNo","Lob1L","Lob1W","Lob2L","Lob2W","Lob3L","Lob3W","stem_D","section1_D","section2_D","section3_D","New_nod"
"TMS14F1306P0020",1,1,2,1,2,NA,NA,NA,135,NA,NA,NA,160,NA,1,NA,NA,NA,7,19,5.5,16,4.5,16,4.9,15.18,5.85,NA,NA,NA
"TMS14F1306P0020",1,2,1,1,3,NA,NA,NA,120,NA,NA,NA,165,NA,3,NA,NA,NA,7,19,5.5,18,4.9,17,5,17.93,9.35,NA,NA,NA
"TMS14F1306P0020",1,3,3,1,2,NA,NA,NA,125,155,NA,NA,170,NA,7,NA,NA,NA,7,19,5,22,6,19,5.3,19.52,10.76,NA,NA,NA
"TMS14F1306P0020",1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,NA,NA,NA,NA,NA,7,17.5,5,18,5.5,18,4.5,14.09,NA,NA,NA,NA
"TMS14F1306P0020",1,5,4,1,2,NA,NA,NA,155,170,NA,NA,190,NA,1,NA,NA,NA,9,17.5,7.3,17,5,20.5,5.5,15.9,6.59,NA,NA,NA
"TMS13F1021P0008",1,1,2,2,2,3,NA,NA,55,145,175,NA,200,NA,18,8,NA,NA,7,15,5,17,6,16,4.8,21.56,15.23,8.32,NA,NA
"TMS13F1021P0008",1,2,2,1,3,NA,NA,NA,105,175,NA,NA,195,NA,11,NA,NA,NA,7,16,4.8,15,4.5,14,4.7,17.13,9.07,NA,NA,NA
"TMS13F1021P0008",1,3,5,2,2,3,NA,NA,85,175,195,NA,210,NA,17,2,NA,NA,7,16,5.8,16,5.5,15.5,4.9,20.75,13.5,7.6,NA,NA
"TMS13F1021P0008",1,4,3,1,2,NA,NA,NA,95,180,NA,NA,200,NA,15,NA,NA,NA,7,15,4.7,15,4.5,14.6,3.9,16.17,9.87,NA,NA,NA
"TMS13F1021P0008",1,5,4,1,2,NA,NA,NA,140,165,NA,NA,180,NA,4,NA,NA,NA,7,17,5,13,4.5,16.5,4.7,11.79,7.91,NA,NA,NA
"TMS13F1182P0002",1,1,3,2,3,2,NA,NA,120,190,NA,NA,220,NA,22,2,NA,NA,7,14.5,4.3,15,4.5,14,5,19.88,11.36,3.97,NA,NA
"TMS13F1182P0002",1,2,2,2,2,2,NA,NA,120,215,NA,NA,240,NA,23,4,NA,NA,7,15,5,17,4.5,16,5,21.89,15.89,8.61,NA,NA
"TMS13F1182P0002",1,3,2,2,3,2,NA,NA,100,175,NA,NA,200,NA,23,3,NA,NA,7,13,3.5,13,3.6,14,3.9,20.97,13.32,9.49,NA,NA
"TMS13F1182P0002",1,4,2,2,2,2,NA,8,120,205,NA,NA,225,NA,21,6,NA,NA,7,18,4.5,17,5.4,17.5,6,23.9,19.82,8.87,NA,NA
"TMS13F1182P0002",1,5,3,1,2,NA,NA,NA,105,182,NA,NA,195,NA,21,NA,NA,NA,7,13,3.5,15,4,15,4,17.27,12.54,NA,NA,NA
"TMS14F1035P0007",1,1,6,1,2,NA,NA,NA,150,NA,NA,NA,185,NA,10,NA,NA,NA,7,15,4.2,14,3.9,13,3.5,16.97,13.67,NA,NA,NA
"TMS14F1035P0007",1,2,1,2,3,2,NA,NA,100,170,NA,NA,190,NA,28,4,NA,NA,7,11.5,3.5,10,3,13,4,24.49,16.98,9.64,NA,NA
"TMS14F1035P0007",1,3,4,2,3,2,NA,NA,110,185,NA,NA,195,NA,23,NA,NA,NA,9,16,4.3,15,4.2,14.5,4,23.16,13.43,4.46,NA,NA
"TMS14F1035P0007",1,4,5,1,3,NA,NA,NA,120,NA,NA,NA,155,NA,9,NA,NA,9,7,12.5,3.8,13,4,10,3,17.41,13.26,NA,NA,NA
"TMS14F1035P0007",1,5,3,2,3,2,NA,NA,105,175,NA,NA,180,NA,21,NA,NA,NA,7,14,3,14,3.2,12,3.5,21.15,14.2,4.45,NA,NA
"TMS14F1310P0004",1,1,1,2,2,3,NA,NA,50,100,225,NA,135,NA,24,4,NA,NA,7,15,4,15.4,4.5,16,5,23.7,16.99,8,NA,NA
"TMS14F1310P0004",1,2,2,2,3,3,NA,NA,50,125,NA,133,160,NA,27,10,NA,NA,7,18,4.5,17,4.3,17.5,5,33.58,19.87,11.44,NA,NA
"TMS14F1310P0004",1,3,3,2,3,2,NA,NA,55,115,NA,NA,130,NA,20,3,NA,NA,7,15.5,4,16.3,9,14,3.7,25.28,19.85,7.65,NA,NA
"TMS14F1310P0004",1,4,2,2,3,2,NA,NA,65,120,NA,NA,140,NA,23,5,NA,NA,9,17,4,16,4,17,4.5,25.36,15.99,7.74,NA,NA
"TMS14F1310P0004",1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1291P0011",1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA,7,15,5,14.5,5,15,4.9,15.58,NA,NA,NA,NA
"TMS14F1291P0011",1,2,4,1,2,NA,NA,NA,90,NA,NA,NA,115,NA,10,NA,NA,NA,7,13,4,12.5,4.5,13,4,14.59,7.83,NA,NA,NA
"TMS14F1291P0011",1,3,2,1,3,NA,NA,NA,90,NA,NA,NA,115,NA,8,NA,NA,NA,9,14.5,5.2,14,5,12.5,4.5,17.6,7.11,NA,NA,NA
"TMS14F1291P0011",1,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,7,15,4.9,13,4.3,14,4.5,16.3,NA,NA,NA,NA
"TMS14F1291P0011",1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA,7,14,5,15,5,14,4.5,14.78,NA,NA,NA,NA
"TMS14F1311P0002",1,1,1,3,2,3,2,NA,25,65,135,NA,145,NA,17,27,2,NA,9,11,4,11,3.9,13,4.5,22.94,19.28,11.03,4.2,NA
"TMS14F1311P0002",1,2,3,1,2,NA,NA,NA,65,NA,NA,NA,115,NA,26,NA,NA,NA,7,11,4,11.2,3.9,13,4.5,18.34,10.6,NA,NA,NA
"TMS14F1311P0002",1,3,4,1,2,NA,NA,NA,65,NA,NA,NA,105,NA,15,NA,NA,NA,7,9,3.5,8.5,3,9,4,14.45,10.06,NA,NA,NA
"TMS14F1311P0002",1,4,4,1,2,NA,NA,NA,95,NA,NA,NA,110,NA,6,NA,NA,NA,9,12.5,4,12,4,12.2,4,13.85,9.66,NA,NA,NA
"TMS14F1311P0002",1,5,3,3,2,2,2,NA,20,80,130,NA,120,NA,17,27,3,NA,9,10,3.5,11,4,11.5,3.5,20.79,19.71,14.6,8.03,NA
"TMS14F1208P0007",1,1,1,2,3,3,NA,NA,45,100,NA,NA,110,NA,18,3,NA,NA,7,12,5,13.5,4,13,3.5,17.2,10.89,3.38,NA,NA
"TMS14F1208P0007",1,2,2,1,3,NA,NA,NA,90,NA,NA,NA,105,NA,4,NA,NA,NA,7,14.5,4.5,15,4,14.2,3.8,17.32,5.96,NA,NA,NA
"TMS14F1208P0007",1,3,3,2,3,3,NA,NA,75,130,NA,NA,135,NA,14,3,NA,NA,7,12.5,3.8,11.5,3.7,10.5,3.6,17.93,9.37,4.49,NA,NA
"TMS14F1208P0007",1,4,2,2,3,2,NA,NA,55,110,NA,NA,125,NA,16,4,NA,NA,7,15,4.6,14,4.5,13.2,4,17.42,11.42,4.77,NA,NA
"TMS14F1208P0007",1,5,2,1,3,NA,NA,NA,80,NA,NA,NA,130,NA,14,NA,NA,NA,9,16,5.2,15,4.3,15.5,4.5,17.26,9.61,NA,NA,NA
"TMS14F1224P0004",2,1,NA,3,NA,NA,NA,NA,40,105,155,NA,180,180,NA,NA,NA,NA,NA,17,4.7,12.5,4.3,11.3,3.3,NA,17.15,8.72,4.13,5
"TMS14F1224P0004",2,2,2,3,NA,NA,NA,NA,40,105,155,NA,175,175,17,16,5,NA,7,17,4.4,12.5,4.3,11.3,3.3,19.4,17.15,8.72,4.13,4
"TMS14F1224P0004",2,3,1,3,2,3,3,NA,35,105,165,NA,185,160,7,12,2,NA,7,19,5,14.2,4.5,13.5,4.5,22.5,16.55,7.55,NA,NA
"TMS14F1224P0004",2,4,1,3,3,3,3,NA,25,100,155,NA,167,170,15,13,2,NA,7,13,4.2,11.3,3.9,11,3.5,23.4,14.43,6.43,NA,NA
"TMS14F1224P0004",2,5,1,3,2,3,2,NA,35,110,160,NA,175,175,14,14,2,NA,7,16,4.6,11.9,3.8,11.1,3.5,21.4,15.94,7.05,NA,4
"TMS13F1114P0001",2,1,5,1,2,NA,NA,NA,85,NA,NA,NA,135,140,15,NA,NA,NA,7,12.5,3.7,15.4,4,11.3,3,14.45,7.26,NA,NA,8
"TMS13F1114P0001",2,2,2,2,2,3,NA,NA,85,140,NA,NA,135,145,14,2,NA,NA,7,18,4.4,15,3.7,13.1,3.3,17.9,9.28,NA,NA,7
"TMS13F1114P0001",2,3,2,2,3,3,NA,NA,75,140,NA,NA,165,150,18,2,NA,NA,7,18.7,4.8,15,4.4,12.5,3.1,18.9,10.59,4.68,NA,8
"TMS13F1114P0001",2,4,3,2,2,2,NA,NA,67,125,NA,NA,140,145,17,3,NA,NA,7,17.3,4,12.3,3.7,13.5,3.1,20.85,8.25,5.06,NA,9
"TMS13F1114P0001",2,5,3,2,2,3,NA,NA,70,130,NA,NA,150,155,16,4,NA,NA,7,17.3,4.4,14,3.9,14.5,3.3,14.85,9.64,4.84,NA,9
"TMS14F1035P0004",2,1,4,2,2,3,NA,NA,65,145,NA,NA,195,180,20,11,NA,NA,7,15.3,5.4,15.1,5.4,13.6,4.7,19.39,11.7,5.06,NA,NA
"TMS14F1035P0004",2,2,2,2,3,3,NA,NA,60,140,NA,NA,185,195,24,12,NA,NA,7,17,5.5,14,4.4,11.9,4.5,25.21,13.44,6.9,NA,NA
"TMS14F1035P0004",2,3,2,2,3,3,NA,NA,70,145,NA,NA,190,185,21,8,NA,NA,8,13.1,4.6,13,4.6,11,4.3,21.99,13.12,5.93,NA,3
"TMS14F1035P0004",2,4,3,3,3,4,3,NA,50,130,190,NA,205,195,18,15,3,NA,7,13.9,4.5,15.8,5.7,12.5,4.5,22.3,14.75,7.71,NA,6
"TMS14F1035P0004",2,5,4,2,3,3,NA,NA,95,170,NA,NA,200,205,18,4,NA,NA,7,13.1,4.7,13.1,4.5,11.4,4.4,18.49,9.27,4.29,NA,7
"TMS14F1194P0002",2,1,3,1,2,NA,NA,NA,160,NA,NA,NA,215,215,6,NA,NA,NA,7,20.1,606,17.1,5.9,13.8,5.7,21.19,10.17,NA,NA,11
"TMS14F1194P0002",2,2,3,1,3,NA,NA,NA,125,NA,NA,NA,195,205,11,NA,NA,NA,7,18.5,6.5,16.7,6.2,15.3,6,20.61,10.14,NA,NA,11
"TMS14F1194P0002",2,3,2,1,2,NA,NA,NA,160,NA,NA,NA,200,215,NA,NA,NA,NA,7,17.3,6.1,17,6,15.1,5.2,19.05,8.8,NA,NA,12
"TMS14F1194P0002",2,4,4,1,3,NA,NA,NA,150,NA,NA,NA,215,240,12,NA,NA,NA,7,20.9,6.9,18.9,7,16.4,6.7,21.33,10.24,NA,NA,8
"TMS14F1194P0002",2,5,3,1,2,NA,NA,NA,130,NA,NA,NA,210,220,17,NA,NA,NA,7,19.2,5.2,16.9,6.5,17.4,6.7,24.22,12.44,NA,NA,14
"TMS14F1036P0007",2,1,3,2,3,2,NA,NA,80,155,NA,NA,215,255,30,NA,NA,NA,7,18,5.5,17.6,5.5,16,4.2,26.45,18.04,7.35,NA,10
"TMS14F1036P0007",2,2,3,1,2,3,2,NA,70,145,200,NA,210.3,260,24,13,2,NA,7,18,6,18,5.8,17,5,25.76,12.89,7.15,NA,12
"TMS14F1036P0007",2,3,4,2,3,2,NA,NA,120,185,NA,NA,200,255,14,2,NA,NA,7,16.8,4.5,13.7,3.8,14.1,4.13,14.66,7.94,NA,NA,10
"TMS14F1036P0007",2,4,2,2,3,3,NA,NA,95,175,NA,NA,210,265,19,8,NA,NA,7,17.3,5.1,16.6,4.9,14.9,4.6,19.6,10.39,NA,NA,6
"TMS14F1036P0007",2,5,3,2,3,3,NA,NA,85,175,NA,NA,220,250,19,8,NA,NA,7,19.9,5.8,15.6,4.7,14.7,4.3,19.65,10.36,NA,NA,12
"TMS14F1208P0007",2,1,2,2,3,3,NA,NA,80,155,NA,NA,210,225,21,11,NA,NA,7,50,4.5,60,4.8,15.5,4.7,22,NA,NA,NA,NA
"TMS14F1208P0007",2,2,1,3,3,3,3,NA,60,145,205,NA,220,220,25,14,NA,NA,7,18.8,5.5,16.4,4.7,15.5,4.5,29.45,20.09,NA,NA,5
"TMS14F1208P0007",2,3,4,2,3,3,NA,NA,82,155,NA,NA,210,220,16,19,NA,NA,7,18.2,5.2,14.3,4.5,13.5,5.4,20.68,10.46,6.26,NA,NA
"TMS14F1208P0007",2,4,2,2,3,3,NA,NA,95,175,NA,NA,205,220,17,7,NA,NA,7,17.9,4.5,16.5,5,17,4.3,30.5,10.13,6.05,NA,5
"TMS14F1208P0007",2,5,3,2,3,3,NA,NA,85,180,NA,NA,225,220,15,6,NA,NA,7,17.6,5,15.5,5,14.9,4.5,20.45,10.73,6.51,NA,3
"TMS14F1022P0006",2,1,2,2,3,3,NA,NA,100,170,NA,NA,185,190,19,3,NA,NA,7,16,5.8,13.5,4.5,13.4,4.8,19.18,8.79,NA,NA,8
"TMS14F1022P0006",2,2,1,1,3,NA,NA,NA,115,NA,NA,NA,160,175,11,NA,NA,NA,8,12.5,4.7,12.9,4.1,17.7,6.6,16.55,7.69,NA,NA,6
"TMS14F1022P0006",2,3,3,1,3,NA,NA,NA,110.5,NA,NA,NA,115,165,12,NA,NA,NA,8,16.4,5.7,13.1,4.4,17.7,6.7,16.05,6.77,NA,NA,12
"TMS14F1022P0006",2,4,3,1,3,NA,NA,NA,105,NA,NA,NA,150,165,13,NA,NA,NA,7,15.2,4.8,11.9,4.1,9.6,3.6,13.69,4.87,NA,NA,NA
"TMS14F1022P0006",2,5,4,2,3,3,NA,NA,95,160,NA,NA,175,180,21,3,NA,NA,8,19.6,6.7,15.8,5.1,13.9,5.1,19.99,9.57,NA,NA,6
"TMS14F1001P0004",2,1,1,2,3,3,NA,NA,90,140,NA,NA,165,175,18,4,NA,NA,7,15.7,4.3,14.9,3.8,14,4.2,19.11,9.65,6.22,NA,8
"TMS14F1001P0004",2,2,1,2,3,2,NA,NA,90,140,NA,NA,160,170,17,2,NA,NA,7,18.1,5.6,16.3,4.5,16.3,4.6,18.78,9.84,3.56,NA,7
"TMS14F1001P0004",2,3,1,2,3,3,NA,NA,80,135,NA,NA,165,175,21,6,NA,NA,7,17.6,4.8,15.3,4.4,15.2,4.4,21.96,12.36,6.71,NA,4
"TMS14F1001P0004",2,4,4,2,2,3,NA,NA,75,125.3,NA,NA,145.2,160,20,4,NA,NA,7,19.4,5.3,17.8,4.9,14.2,3.9,18.45,10.73,5.45,NA,7
"TMS14F1001P0004",2,5,2,2,3,2,NA,NA,80,140,NA,NA,195,230,22,10,NA,NA,7,16,4.9,15.2,4.3,13.9,3.9,20.93,11.88,6.58,NA,NA
"TMS14F1297P0019",2,1,2,1,2,NA,NA,NA,110,NA,NA,NA,155,170,11,NA,NA,NA,7,17.7,5.2,17.7,5.3,18.6,5.3,17.76,10.22,NA,NA,7
"TMS14F1297P0019",2,2,1,1,2,NA,NA,NA,125,NA,NA,NA,135.3,150,3,NA,NA,NA,7,15.9,4.8,17.3,4.9,18.7,5.4,15.88,4.85,NA,NA,9
"TMS14F1297P0019",2,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,145,NA,NA,NA,NA,7,13.6,3.8,13.9,4.5,15,4.2,12.91,NA,NA,NA,10
"TMS14F1297P0019",2,4,3,1,3,NA,NA,NA,115,NA,NA,NA,155,160,17,NA,NA,NA,7,20.5,5.8,17.9,5,15.4,5.1,18.81,10.66,NA,NA,7
"TMS14F1297P0019",2,5,2,2,3,3,NA,NA,95,155,NA,NA,175,165,26,NA,NA,NA,7,21.3,5.7,19.9,5.9,15.7,4.3,27.14,13.46,NA,NA,6
"TMS14F1291P0011",2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,95,NA,NA,NA,NA,6,15.4,4.8,12.3,4.5,15.3,4.9,15.53,NA,NA,NA,8
"TMS14F1291P0011",2,2,5,1,2,NA,NA,NA,80,NA,NA,NA,100,100,6,NA,NA,NA,7,13.7,4.4,12.9,4.3,14.2,5.2,14.68,16.15,NA,NA,9
"TMS14F1291P0011",2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,100,NA,NA,NA,NA,7,16.2,5.1,10.5,4.4,16.3,5.3,15.77,NA,NA,NA,10
"TMS14F1291P0011",2,4,4,8,NA,NA,NA,NA,NA,NA,NA,NA,95,95,NA,NA,NA,NA,7,14.5,4.5,15.5,5.1,15.9,5.1,12.66,NA,NA,NA,12
"TMS14F1291P0011",2,5,2,8,NA,NA,NA,NA,NA,NA,NA,NA,85,80,NA,NA,NA,NA,7,13.3,4.3,14.7,4.8,14.6,4.7,13.26,NA,NA,NA,10
"TMS14F1120P0003",2,1,2,2,2,3,NA,NA,70,120,NA,NA,130,155,20,3,NA,NA,7,14.9,3.3,13.2,2.2,13.2,3.4,15.32,8.84,NA,NA,10
"TMS14F1120P0003",2,2,2,2,3,3,NA,NA,55,115,NA,NA,150,165,25,11,NA,NA,7,17.3,4.8,14.8,4.4,15.2,4.2,25.71,6.73,NA,NA,3
"TMS14F1120P0003",2,3,3,2,2,2,NA,NA,60,120,NA,NA,150,160,20,5,NA,NA,7,15.1,3.6,14.1,4.2,15.1,4.4,17.69,10.39,6.15,NA,10
"TMS14F1120P0003",2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1120P0003",2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1306P0015",2,1,3,1,2,NA,NA,NA,125,NA,NA,NA,155,165,7,NA,NA,NA,8,19.9,5.9,17.4,4.9,18.3,5.8,18.85,9.74,NA,NA,10
"TMS14F1306P0015",2,2,2,1,3,NA,NA,NA,105,NA,NA,NA,155,160,18,NA,NA,NA,8,17.9,4.9,16.7,4.6,14.8,4.8,19.2,10.41,NA,NA,10
"TMS14F1306P0015",2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,175,NA,NA,NA,NA,8,17.8,5.8,17.7,4.9,17.8,4.9,19.1,NA,NA,NA,15
"TMS14F1306P0015",2,4,4,1,3,NA,NA,NA,95,NA,NA,NA,165.3,175,31,NA,NA,NA,8,19.9,5.8,17.9,5.2,16.3,4.4,22.13,13.59,NA,NA,2
"TMS14F1306P0015",2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1016P0006",2,1,3,2,3,3,NA,NA,115,170,NA,NA,185,200,20,5,NA,NA,7,21.2,7.4,17.8,6.5,16.2,5.9,25.02,11.64,5.08,NA,5
"TMS14F1016P0006",2,2,3,1,3,NA,NA,NA,115,NA,NA,NA,135,155,5,NA,NA,NA,7,18.4,6.3,19.5,6.6,14.7,5.3,22.95,6.17,NA,NA,7
"TMS14F1016P0006",2,3,1,1,4,NA,NA,NA,95,NA,NA,NA,145,150,15,NA,NA,NA,7,19.8,6.3,15.9,5.3,13.9,4.9,18.25,7.4,NA,NA,NA
"TMS14F1016P0006",2,4,2,1,2,NA,NA,NA,115,NA,NA,NA,145,160,6,NA,NA,NA,7,14.3,5.5,14.7,5.1,14.3,4.9,16.58,6.36,NA,NA,6
"TMS14F1016P0006",2,5,3,1,3,NA,NA,NA,125,NA,NA,NA,155,160,8,NA,NA,NA,7,17.9,6.7,6.9,6,15.5,5.5,16.71,6.04,NA,NA,4
"TMS14F1312P0003",2,1,3,1,2,NA,NA,NA,140.3,NA,NA,NA,190,210,12,NA,NA,NA,7,14.1,3.8,11.9,3.9,14.7,4.3,17.81,8.2,NA,NA,9
"TMS14F1312P0003",2,2,4,2,2,2,NA,NA,100,180,NA,NA,200,210,26,2,NA,NA,7,14.4,5.1,14.4,4.6,17.2,5.3,21.03,11.11,NA,NA,8
"TMS14F1312P0003",2,3,7,1,2,NA,NA,NA,140,NA,NA,NA,205,220,17,NA,NA,NA,7,17.4,4.8,16.7,4.8,16.8,4.8,19.65,9.68,NA,NA,6
"TMS14F1312P0003",2,4,2,2,2,2,NA,NA,110,185,NA,NA,210,225,24,3,NA,NA,7,18.6,4.9,17.8,5.1,16.7,4.8,22.59,13.79,NA,NA,12
"TMS14F1312P0003",2,5,2,1,3,NA,NA,NA,115,NA,NA,NA,185,210,20,NA,NA,NA,7,16.3,4.7,13.2,4.3,13.3,4.8,24.93,10.04,NA,NA,3
"TMS14F1262P0002",2,1,2,2,3,2,NA,NA,75,125,NA,NA,150,160,25,11,NA,NA,8,15.5,5.2,17.5,5.1,19.5,5.4,24.64,14.58,9.23,NA,10
"TMS14F1262P0002",2,2,1,1,3,NA,NA,NA,80,NA,NA,NA,140,150,20,NA,NA,NA,7,16.4,4.5,16.5,4.1,12.5,3.3,22.31,8.6,NA,NA,6
"TMS14F1262P0002",2,3,1,2,3,2,NA,NA,70,130,NA,NA,145,160,26,2,NA,NA,8,14.6,4.1,15.5,4.3,15.8,4.6,23.01,21.73,10.88,NA,10
"TMS14F1262P0002",2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1262P0002",2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1131P0001",2,1,2,2,3,3,NA,NA,85,160.3,NA,NA,190,195,19,5,NA,NA,7,17.2,5.2,14.8,4.6,16.7,5.4,21.12,12.82,4.91,NA,6
"TMS14F1131P0001",2,2,1,2,3,4,NA,NA,65,160,NA,NA,205,210,24,10,NA,NA,7,17.8,6.3,18.7,5.9,20.4,6,25.56,17.27,8.31,NA,3
"TMS14F1131P0001",2,3,2,2,3,3,NA,NA,70,145,NA,NA,190,205,22,8,NA,NA,7,14.3,5.3,16.4,5.1,16.3,4.8,21.12,13.47,7.39,NA,4
"TMS14F1131P0001",2,4,2,2,3,3,NA,NA,70,160,NA,NA,185,205,18,6,NA,NA,7,16.4,4.6,13.8,4.4,15.4,4.8,19.46,12.29,3.58,NA,6
"TMS14F1131P0001",2,5,3,1,3,NA,NA,NA,120,NA,NA,NA,155,230,11,NA,NA,NA,7,15.3,4.3,NA,NA,NA,NA,NA,NA,NA,NA,3
"TMS14F1049P0001",2,1,4,1,3,NA,NA,NA,100,NA,NA,NA,150,170,10,NA,NA,NA,7,13.43,5.3,15.2,4.6,13.43,4.3,14.5,7.92,NA,NA,5
"TMS14F1049P0001",2,2,3,2,2,2,NA,NA,95,145.3,NA,NA,160,165,19,2,NA,NA,7,16.2,4.7,13.7,4.1,12.5,4.2,16.48,8.54,NA,NA,5
"TMS14F1049P0001",2,3,3,1,2,NA,NA,NA,115,NA,NA,NA,170,180,16,NA,NA,NA,7,15.3,4.5,15.3,4.6,14.7,4.5,17.02,8.45,NA,NA,NA
"TMS14F1049P0001",2,4,5,1,2,NA,NA,NA,130,NA,NA,NA,155,170,7,NA,NA,NA,7,15.8,4.6,14.5,4.3,9.5,3.1,14.09,4.09,NA,NA,7
"TMS14F1049P0001",2,5,6,1,3,NA,NA,NA,140,NA,NA,NA,160,165,5,NA,NA,NA,7,16,4.5,12,3.5,11.4,4,14.48,9.63,NA,NA,7
"TMS13F1461P0002",2,1,3,1,2,NA,NA,NA,100,NA,NA,NA,120,125,5,NA,NA,NA,7,14.5,3.5,14,3.1,11.4,2.6,16,5.88,NA,NA,7
"TMS13F1461P0002",2,2,4,1,2,NA,NA,NA,75,NA,NA,NA,127,125,19,NA,NA,NA,7,19.5,4.8,14.6,2.7,12.4,4.6,16.16,7.8,NA,NA,8
"TMS13F1461P0002",2,3,1,1,2,NA,NA,NA,65,NA,NA,NA,110,120,18,NA,NA,NA,7,19.7,4.5,13.4,3.4,12.4,2.5,19.8,8.6,NA,NA,NA
"TMS13F1461P0002",2,4,3,2,2,2,NA,NA,100,155,NA,NA,165,165,22,2,NA,NA,7,22.2,5.3,21.4,3.2,14.4,3.1,24.71,12.96,NA,NA,6
"TMS13F1461P0002",2,5,2,2,3,3,NA,NA,90,155,NA,NA,170,170,23,2,NA,NA,7,17.8,4.3,16.1,4.2,12.4,3,24.36,12.07,NA,NA,8
"TMS14F1300P0008",2,1,2,2,2,3,NA,NA,85,168,NA,NA,190,195,20,5,NA,NA,9,21,6.5,14.2,5.9,15.8,4.9,24,14.8,5.2,NA,6
"TMS14F1300P0008",2,2,1,1,3,NA,NA,NA,110,NA,NA,NA,150,160,9,NA,NA,NA,9,13.9,3.5,14,4.5,10.3,3.8,18.37,8.07,NA,NA,7
"TMS14F1300P0008",2,3,2,2,2,3,NA,NA,40,120,NA,NA,160,160,19,12,NA,NA,9,15.6,4.9,13.5,4.4,11.3,3.7,22.9,14.56,6.45,NA,NA
"TMS14F1300P0008",2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1300P0008",2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TMS14F1303P0012",2,1,2,1,2,NA,NA,NA,80,NA,NA,NA,155,160,21,NA,NA,NA,8,18,5.5,16.6,4.4,14,3.8,16.72,9.27,NA,NA,9
"TMS14F1303P0012",2,2,5,1,2,NA,NA,NA,85,NA,NA,NA,140,150,16,NA,NA,NA,7,18,5.2,15.5,4.6,16.3,4.6,17.78,10.27,NA,NA,NA
"TMS14F1303P0012",2,3,2,1,3,NA,NA,NA,85,NA,NA,NA,145,155,17,NA,NA,NA,7,16.9,4.5,15,4.5,14.3,4.3,20.05,7.76,NA,NA,1
"TMS14F1303P0012",2,4,3,1,2,NA,NA,NA,98,NA,NA,NA,140,150,11,NA,NA,NA,7,16.7,4.8,13.5,4.2,14.2,4.2,14.79,8.02,NA,NA,2
"TMS14F1303P0012",2,5,2,1,2,NA,NA,NA,85,NA,NA,NA,135,140,10,NA,NA,NA,7,16.7,4.9,15.8,4.7,15.8,4.5,16.6,8.97,NA,NA,3
"TMS13F2061P0005",2,1,1,2,3,3,NA,NA,55,120,NA,NA,175,180,24,11,NA,NA,9,17.6,5.3,15.1,4.5,12.9,3.9,30.17,18.1,9.39,NA,4
"TMS13F2061P0005",2,2,1,2,3,3,NA,NA,50,130,NA,NA,150,160,18,4,NA,NA,9,17.5,5.3,20.5,3.8,11.9,3.6,25.88,11.79,5.15,NA,7
"TMS13F2061P0005",2,3,1,2,3,3,NA,NA,50,135,NA,NA,160,170,21,3,NA,NA,7,15.4,4.9,13.8,4.5,14.2,4.3,20.34,11.03,4.83,NA,6
