"accession_name","rep_number","plant_number","stem_nu","NODLT","Total_nod","LAIm","LAIX","BR#S","L#SX","L#IR"
"TMS14F1001P0004",1,1,2,NA,NA,198.265,NA,2,NA,NA
"TMS14F1001P0004",1,2,1,3.33333333333333,99,156.314,1.5475086,1,99,NA
"TMS14F1001P0004",1,3,2,4.44444444444444,132.5,175.1055,2.320147875,2,66.25,NA
"TMS14F1001P0004",1,4,1,4.28571428571429,108.666666666667,213.462,2.3196204,1,108.666666666667,NA
"TMS14F1001P0004",1,5,3,NA,NA,165.0045,NA,3,NA,NA
"TMS14F1049P0001",1,1,5,NA,NA,191.167,NA,5,NA,NA
"TMS14F1049P0001",1,2,7,NA,NA,206.455,NA,7,NA,NA
"TMS14F1049P0001",1,3,3,4.34782608695652,305.1,269.8365,8.232711615,3,101.7,NA
"TMS14F1049P0001",1,4,5,NA,NA,194.989,NA,5,NA,NA
"TMS14F1049P0001",1,5,2,3.86363636363636,201.764705882353,213.098,4.29956552941176,2,100.882352941176,NA
"TMS14F1022P0006",1,1,4,NA,NA,250.3365,NA,4,NA,NA
"TMS14F1022P0006",1,2,4,NA,NA,276.252,NA,4,NA,NA
"TMS14F1022P0006",1,3,3,4.03846153846154,364.571428571429,333.4065,12.1550484,3,121.52380952381,NA
"TMS14F1022P0006",1,4,3,NA,NA,222.1395,NA,3,NA,NA
"TMS14F1022P0006",1,5,1,3.33333333333333,117,292.632,3.4237944,1,117,NA
"TMS14F1262P0002",1,1,3,4.35897435897436,311.294117647059,227.58,7.08443152941177,3,103.764705882353,NA
"TMS14F1262P0002",1,2,2,3.75,120,198.3833,2.3805996,2,60,NA
"TMS14F1262P0002",1,3,3,12.1739130434783,239.785714285714,143.665,3.44488146428571,3,79.9285714285714,NA
"TMS14F1262P0002",1,4,2,5.30769230769231,234.840579710145,157.7245,3.70401130144928,2,117.420289855072,NA
"TMS14F1262P0002",1,5,3,3.57142857142857,151.2,194.352,2.93860224,3,50.4,NA
"TMS14F1297P0019",1,1,3,3.5,96,125.6015,1.2057744,3,32,NA
"TMS14F1297P0019",1,2,3,2.5,216,213.306,4.6074096,3,72,NA
"TMS14F1297P0019",1,3,3,NA,NA,146.6225,NA,3,NA,NA
"TMS14F1297P0019",1,4,2,NA,NA,166.324,NA,2,NA,NA
