,accession_name,leaf_no,Slice,Total.Area
130,TMS13F2061P0005,2,scan_2,189.336
131,TMS13F2061P0005,3,scan_3,134.448
132,TMS13F2061P0005,4,scan_4,177.115
133,TMS13F2061P0005,5,scan_5,134.807
134,TMS13F2061P0005,6,scan_6,152.73
135,TMS13F2061P0005,7,scan_7,192.579
136,TMS13F2061P0005,8,scan_8,209.468
137,TMS13F2061P0005,9,scan_9,179.899
138,TMS13F2061P0005,10,scan_10,130.98
139,TMS13F2207P0001,1,scan_1,181.95
140,TMS13F2207P0001,2,scan_2,199.63
141,TMS13F2207P0001,3,scan_3,269.789
142,TMS13F2207P0001,4,scan_4,222.392
143,TMS13F2207P0001,5,scan_5,253.046
144,TMS13F2207P0001,6,scan_6,236.05
145,TMS13F2207P0001,7,scan_7,243.353
146,TMS13F2207P0001,8,scan_8,230.217
147,TMS13F2207P0001,9,scan_9,218.162
148,TMS13F2207P0001,10,scan_10,273.49
149,TMS141295P0012,1,scan_1,111.815
150,TMS141295P0012,2,scan_2,126.065
151,TMS141295P0012,3,scan_3,129.569
152,TMS141295P0012,4,scan_4,136.144
153,TMS141295P0012,5,scan_5,98.277
154,TMS141295P0012,7,scan_7,135.495
155,TMS141295P0012,8,scan_8,98.981
156,TMS141295P0012,9,scan_9,117.079
157,TMS141295P0012,10,scan_10,145.878
158,TMS14F1001P0004,1,scan_1,168.539
159,TMS14F1001P0004,2,scan_2,138.283
160,TMS14F1001P0004,3,scan_3,149.423
161,TMS14F1001P0004,4,scan_4,156.368
162,TMS14F1001P0004,5,scan_5,170.519
163,TMS14F1001P0004,6,scan_6,120.21
164,TMS14F1001P0004,7,scan_7,161.76
165,TMS14F1001P0004,8,scan_8,137.451
166,TMS14F1001P0004,9,scan_9,157.337
167,TMS14F1001P0004,10,scan_10,142.772
168,TMS14F1013P0007,1,scan_1,121.821
169,TMS14F1013P0007,2,scan_2,87.781
170,TMS14F1013P0007,3,scan_3,114.798
171,TMS14F1013P0007,4,scan_4,84.266
172,TMS14F1013P0007,5,scan_5,118.676
173,TMS14F1013P0007,6,scan_6,99.744
174,TMS14F1013P0007,7,scan_7,133.843
175,TMS14F1013P0007,8,scan_8,109.22
176,TMS14F1013P0007,9,scan_9,143.779
177,TMS14F1013P0007,10,scan_10,105.415
178,TMS14F1014P0016,1,scan_1,84.407
179,TMS14F1014P0016,2,scan_2,148.397
180,TMS14F1014P0016,3,scan_3,111.079
181,TMS14F1014P0016,4,scan_4,128.898
182,TMS14F1014P0016,5,scan_5,82.017
183,TMS14F1014P0016,6,scan_6,85.491
184,TMS14F1014P0016,8,scan_8,67.026
185,TMS14F1014P0016,9,scan_9,73.59
186,TMS14F1014P0016,10,scan_10,63.504
187,TMS14F1014P0017,1,scan_1,148.965
188,TMS14F1014P0017,2,scan_2,172.962
189,TMS14F1014P0017,3,scan_3,179.316
190,TMS14F1014P0017,4,scan_4,179.764
191,TMS14F1014P0017,5,scan_5,124.449
192,TMS14F1014P0017,6,scan_6,145.801
193,TMS14F1014P0017,7,scan_7,177.01
194,TMS14F1014P0017,8,scan_8,166.128
195,TMS14F1014P0017,9,scan_9,153.697
196,TMS14F1014P0017,10,scan_10,127.723
197,TMS14F1016P0006,1,scan_1,130.852
198,TMS14F1016P0006,2,scan_2,135.991
199,TMS14F1016P0006,3,scan_3,150.295
200,TMS14F1016P0006,4,scan_4,131.23
201,TMS14F1016P0006,5,scan_5,189.41
202,TMS14F1016P0006,6,scan_6,134.578
203,TMS14F1016P0006,7,scan_7,203.951
204,TMS14F1016P0006,8,scan_8,147.672
205,TMS14F1016P0006,9,scan_9,171.097
206,TMS14F1016P0006,10,scan_10,135.847
207,TMS14F1022P0003,1,scan_1,129.151
208,TMS14F1022P0003,2,scan_2,95.995
209,TMS14F1022P0003,3,scan_3,146.01
210,TMS14F1022P0003,4,scan_4,108.092
211,TMS14F1022P0003,5,scan_5,126.966
212,TMS14F1022P0003,6,scan_6,130.606
213,TMS14F1022P0003,7,scan_7,115.381
214,TMS14F1022P0003,8,scan_8,126.715
215,TMS14F1022P0003,9,scan_9,140.817
216,TMS14F1022P0003,10,scan_10,115.418
217,TMS14F1022P0006,1,scan_1,197.658
218,TMS14F1022P0006,2,scan_2,179.074
219,TMS14F1022P0006,3,scan_3,217.296
220,TMS14F1022P0006,4,scan_4,209.962
221,TMS14F1022P0006,5,scan_5,175.345
222,TMS14F1022P0006,6,scan_6,216.358
223,TMS14F1022P0006,7,scan_7,147.911
224,TMS14F1022P0006,8,scan_8,203.16
225,TMS14F1022P0006,9,scan_9,146.843
226,TMS14F1022P0006,10,scan_10,246.611
227,TMS14F1035P0004,1,scan_1,133.874
228,TMS14F1035P0004,2,scan_2,176.303
229,TMS14F1035P0004,3,scan_3,133.428
230,TMS14F1035P0004,4,scan_4,115.954
231,TMS14F1035P0004,5,scan_5,130.339
232,TMS14F1035P0004,6,scan_6,178.197
233,TMS14F1035P0004,7,scan_7,62.225
234,TMS14F1035P0004,8,scan_8,95.657
235,TMS14F1035P0004,9,scan_9,91.163
236,TMS14F1035P0004,10,scan_10,102.344
237,TMS14F1035P0007,1,scan_1,223.909
238,TMS14F1035P0007,2,scan_2,175.196
239,TMS14F1035P0007,3,scan_3,178.727
240,TMS14F1035P0007,4,scan_4,224.902
241,TMS14F1035P0007,5,scan_5,155.368
242,TMS14F1035P0007,6,scan_6,168.766
243,TMS14F1035P0007,7,scan_7,260.883
244,TMS14F1035P0007,8,scan_8,218.354
245,TMS14F1035P0007,9,scan_9,228.646
246,TMS14F1035P0007,10,scan_10,186.824
247,TMS14F1036P0007,1,scan_1,188.79
248,TMS14F1036P0007,2,scan_2,142.8
249,TMS14F1036P0007,3,scan_3,160.89
250,TMS14F1036P0007,4,scan_4,146.887
251,TMS14F1036P0007,5,scan_5,165.388
252,TMS14F1036P0007,6,scan_6,187.839
253,TMS14F1036P0007,7,scan_7,126.006
254,TMS14F1036P0007,8,scan_8,129.908
255,TMS14F1036P0007,9,scan_9,117.307
256,TMS14F1036P0007,10,scan_10,107.66
257,TMS14F1049P0001,1,scan_1,152.588
258,TMS14F1049P0001,2,scan_2,193.607
259,TMS14F1049P0001,3,scan_3,223.298
260,TMS14F1049P0001,4,scan_4,177.491
261,TMS14F1049P0001,5,scan_5,230.217
262,TMS14F1049P0001,6,scan_6,150.875
263,TMS14F1049P0001,7,scan_7,177.496
264,TMS14F1049P0001,8,scan_8,170.637
265,TMS14F1049P0001,9,scan_9,134.544
266,TMS14F1049P0001,10,scan_10,100.777
267,TMS14F1098P0013,1,scan_1,122.832
268,TMS14F1098P0013,2,scan_2,118.706
269,TMS14F1098P0013,3,scan_3,113.788
270,TMS14F1098P0013,4,scan_4,107.395
271,TMS14F1098P0013,5,scan_5,147.948
272,TMS14F1098P0013,6,scan_6,152.537
273,TMS14F1098P0013,7,scan_7,123.748
274,TMS14F1098P0013,8,scan_8,127.649
275,TMS14F1098P0013,9,scan_9,116.725
276,TMS14F1098P0013,10,scan_10,103.278
277,TMS14F1120P0003,1,scan_1,130.611
278,TMS14F1120P0003,2,scan_2,136.736
279,TMS14F1120P0003,3,scan_3,104.891
280,TMS14F1120P0003,4,scan_4,110.659
281,TMS14F1120P0003,5,scan_5,117.431
282,TMS14F1120P0003,6,scan_6,122.219
283,TMS14F1120P0003,7,scan_7,152.235
284,TMS14F1120P0003,8,scan_8,112.242
285,TMS14F1120P0003,9,scan_9,105.659
286,TMS14F1120P0003,10,scan_10,135.963
287,TMS14F1125P0010,1,scan_1,107.761
288,TMS14F1125P0010,2,scan_2,136.743
289,TMS14F1125P0010,3,scan_3,106.546
290,TMS14F1125P0010,4,scan_4,110.999
291,TMS14F1125P0010,5,scan_5,126.599
292,TMS14F1125P0010,6,scan_6,124.618
293,TMS14F1125P0010,7,scan_7,99.953
294,TMS14F1125P0010,8,scan_8,72.045
295,TMS14F1125P0010,9,scan_9,89.033
296,TMS14F1125P0010,10,scan_10,115.463
297,TMS14F1131P0001,1,scan_1,115.171
298,TMS14F1131P0001,2,scan_2,118.723
299,TMS14F1131P0001,3,scan_3,98.308
300,TMS14F1131P0001,4,scan_4,153.242
301,TMS14F1131P0001,5,scan_5,123.644
302,TMS14F1131P0001,6,scan_6,85.992
303,TMS14F1131P0001,7,scan_7,127.816
304,TMS14F1131P0001,8,scan_8,115.116
305,TMS14F1131P0001,9,scan_9,68.47
306,TMS14F1131P0001,10,scan_10,92.208
307,TMS14F1146P0002,1,scan_1,145.952
308,TMS14F1146P0002,2,scan_2,160.491
309,TMS14F1146P0002,3,scan_3,166.308
310,TMS14F1146P0002,4,scan_4,131.689
311,TMS14F1146P0002,5,scan_5,168.464
312,TMS14F1146P0002,6,scan_6,87.984
313,TMS14F1146P0002,7,scan_7,91.048
314,TMS14F1146P0002,8,scan_8,124.884
315,TMS14F1146P0002,9,scan_9,123.546
316,TMS14F1146P0002,10,scan_10,143.9
317,TMS14F1159P003,1,scan_1,149.818
318,TMS14F1159P003,2,scan_2,123.821
319,TMS14F1159P003,3,scan_3,121.066
320,TMS14F1159P003,4,scan_4,128.011
321,TMS14F1159P003,5,scan_5,151.049
322,TMS14F1159P003,6,scan_6,150.002
323,TMS14F1159P003,7,scan_7,135.624
324,TMS14F1159P003,9,scan_9,81.276
325,TMS14F1159P003,10,scan_10,109.922
326,TMS14F1194P0002,1,scan_1,154.632
327,TMS14F1194P0002,2,scan_2,153.577
328,TMS14F1194P0002,3,scan_3,179.116
329,TMS14F1194P0002,4,scan_4,177.8
330,TMS14F1194P0002,5,scan_5,133.442
331,TMS14F1194P0002,6,scan_6,159.457
332,TMS14F1194P0002,7,scan_7,136.674
333,TMS14F1194P0002,8,scan_8,175.85
334,TMS14F1194P0002,9,scan_9,184.426
335,TMS14F1194P0002,10,scan_10,153.945
336,TMS14F1195P0004,1,scan_1,146.036
337,TMS14F1195P0004,2,scan_2,166.901
338,TMS14F1195P0004,3,scan_3,157.666
339,TMS14F1195P0004,4,scan_4,119.821
340,TMS14F1195P0004,5,scan_5,115.011
341,TMS14F1195P0004,6,scan_6,108.272
342,TMS14F1195P0004,7,scan_7,96.503
343,TMS14F1195P0004,8,scan_8,151.419
344,TMS14F1195P0004,9,scan_9,127.037
345,TMS14F1195P0004,10,scan_10,131.953
346,TMS14F1195P0005,1,scan_1,177.982
347,TMS14F1195P0005,2,scan_2,191.692
348,TMS14F1195P0005,3,scan_3,168.969
349,TMS14F1195P0005,4,scan_4,152.369
350,TMS14F1195P0005,5,scan_5,144.399
351,TMS14F1195P0005,6,scan_6,146.135
352,TMS14F1195P0005,7,scan_7,179.943
353,TMS14F1195P0005,8,scan_8,175.946
354,TMS14F1195P0005,9,scan_9,146.363
355,TMS14F1195P0005,10,scan_10,124.074
356,TMS14F1196P0003,1,scan_1,96.38
357,TMS14F1196P0003,2,scan_2,98.269
358,TMS14F1196P0003,3,scan_3,97.602
359,TMS14F1196P0003,4,scan_4,160.269
360,TMS14F1196P0003,5,scan_5,96.212
361,TMS14F1196P0003,6,scan_6,113.576
362,TMS14F1196P0003,7,scan_7,87.007
363,TMS14F1196P0003,8,scan_8,104.97
364,TMS14F1196P0003,9,scan_9,71.022
365,TMS14F1196P0003,10,scan_10,99.553
366,TMS14F1208P0007,1,scan_1,147.417
367,TMS14F1208P0007,2,scan_2,120.05
368,TMS14F1208P0007,3,scan_3,89.924
369,TMS14F1208P0007,4,scan_4,138.353
370,TMS14F1208P0007,5,scan_5,136.932
371,TMS14F1208P0007,6,scan_6,115.313
372,TMS14F1208P0007,7,scan_7,119.759
373,TMS14F1208P0007,8,scan_8,125.582
374,TMS14F1208P0007,9,scan_9,91.083
375,TMS14F1208P0007,10,scan_10,143.809
376,TMS14F1223P0007,1,scan_1,186.208
377,TMS14F1223P0007,2,scan_2,138.791
378,TMS14F1223P0007,3,scan_3,248.568
379,TMS14F1223P0007,4,scan_4,189.864
380,TMS14F1223P0007,5,scan_5,144.223
381,TMS14F1223P0007,6,scan_6,206.03
382,TMS14F1223P0007,7,scan_7,159.257
383,TMS14F1223P0007,8,scan_8,133.868
384,TMS14F1223P0007,9,scan_9,164.836
385,TMS14F1223P0007,10,scan_10,151.945
386,TMS14F1224P0004,1,scan_1,168.461
387,TMS14F1224P0004,2,scan_2,171.278
388,TMS14F1224P0004,3,scan_3,169.334
389,TMS14F1224P0004,4,scan_4,158.291
390,TMS14F1224P0004,5,scan_5,123.574
391,TMS14F1224P0004,6,scan_6,152.949
392,TMS14F1224P0004,7,scan_7,135.277
393,TMS14F1224P0004,8,scan_8,122.168
394,TMS14F1224P0004,9,scan_9,153.626
395,TMS14F1224P0004,10,scan_10,116.507
396,TMS14F1262P0002,1,scan_1,122
397,TMS14F1262P0002,2,scan_2,146.657
398,TMS14F1262P0002,3,scan_3,153.456
399,TMS14F1262P0002,4,scan_4,197.387
400,TMS14F1262P0002,5,scan_5,180.283
401,TMS14F1262P0002,6,scan_6,201.11
402,TMS14F1262P0002,7,scan_7,166.233
403,TMS14F1262P0002,8,scan_8,174.624
404,TMS14F1262P0002,9,scan_9,160.958
405,TMS14F1262P0002,10,scan_10,164.266
406,TMS14F1278P0003,1,scan_1,80.58
407,TMS14F1278P0003,2,scan_2,95.817
408,TMS14F1278P0003,3,scan_3,84.447
409,TMS14F1278P0003,4,scan_4,97.836
410,TMS14F1278P0003,5,scan_5,66.723
411,TMS14F1278P0003,6,scan_6,96.747
412,TMS14F1278P0003,7,scan_7,60.367
413,TMS14F1278P0003,8,scan_8,52.908
414,TMS14F1278P0003,9,scan_9,80.589
415,TMS14F1278P0003,10,scan_10,78.784
416,TMS14F1285P0008,1,scan_1,217.664
417,TMS14F1285P0008,2,scan_2,217.36
418,TMS14F1285P0008,3,scan_3,210.78
419,TMS14F1285P0008,4,scan_4,190.053
420,TMS14F1285P0008,5,scan_5,157.823
421,TMS14F1285P0008,6,scan_6,151.245
422,TMS14F1285P0008,7,scan_7,166.158
423,TMS14F1285P0008,8,scan_8,210.476
424,TMS14F1285P0008,9,scan_9,168.288
425,TMS14F1285P0008,10,scan_10,154.605
426,TMS14F1285P0017,1,scan_1,185.401
427,TMS14F1285P0017,2,scan_2,256.236
428,TMS14F1285P0017,3,scan_3,197.949
429,TMS14F1285P0017,4,scan_4,200.747
430,TMS14F1285P0017,5,scan_5,197.675
431,TMS14F1285P0017,6,scan_6,226.245
432,TMS14F1285P0017,7,scan_7,209.345
433,TMS14F1285P0017,8,scan_8,242.972
434,TMS14F1285P0017,9,scan_9,231.526
435,TMS14F1285P0017,10,scan_10,197.688
436,TMS14F1287P0008,1,scan_1,90.919
437,TMS14F1287P0008,2,scan_2,81.595
438,TMS14F1287P0008,3,scan_3,84.258
439,TMS14F1287P0008,4,scan_4,127.325
440,TMS14F1287P0008,5,scan_5,132.667
441,TMS14F1287P0008,6,scan_6,91.438
442,TMS14F1287P0008,7,scan_7,100.19
443,TMS14F1288P0008,1,scan_1,253.263
444,TMS14F1288P0008,2,scan_2,155.212
445,TMS14F1288P0008,3,scan_3,219.862
446,TMS14F1288P0008,4,scan_4,119.4
447,TMS14F1288P0008,5,scan_5,211.06
448,TMS14F1288P0008,6,scan_6,166.377
449,TMS14F1291P0003,1,scan_1,288.688
450,TMS14F1291P0003,2,scan_2,269.756
451,TMS14F1291P0003,3,scan_3,290.628
452,TMS14F1291P0003,4,scan_4,293.31
453,TMS14F1291P0003,5,scan_5,236.733
454,TMS14F1291P0003,6,scan_6,264.27
455,TMS14F1291P0003,7,scan_7,246.164
456,TMS14F1291P0003,8,scan_8,320.528
457,TMS14F1291P0003,9,scan_9,283.081
458,TMS14F1291P0003,10,scan_10,246.23
459,TMS14F1291P0011,1,scan_1,211.074
460,TMS14F1291P0011,2,scan_2,214.185
461,TMS14F1291P0011,3,scan_3,226.582
462,TMS14F1291P0011,4,scan_4,172.548
463,TMS14F1291P0011,5,scan_5,213.672
464,TMS14F1291P0011,6,scan_6,192.457
465,TMS14F1291P0011,7,scan_7,197.324
466,TMS14F1291P0011,8,scan_8,232.176
467,TMS14F1291P0011,9,scan_9,179.927
468,TMS14F1291P0011,10,scan_10,226.488
469,TMS14F1291P0012,1,scan_1,73.294
470,TMS14F1291P0012,2,scan_2,106.43
471,TMS14F1291P0012,3,scan_3,114.756
472,TMS14F1291P0012,4,scan_4,95.268
473,TMS14F1291P0012,5,scan_5,129.971
474,TMS14F1291P0012,6,scan_6,134.12
475,TMS14F1291P0012,7,scan_7,93.785
476,TMS14F1291P0012,8,scan_8,92.059
477,TMS14F1291P0012,9,scan_9,112.096
478,TMS14F1292P0022,1,scan_1,155.005
479,TMS14F1292P0022,2,scan_2,142.809
480,TMS14F1292P0022,3,scan_3,146.132
481,TMS14F1292P0022,4,scan_4,156.409
482,TMS14F1292P0022,5,scan_5,199.981
483,TMS14F1292P0022,6,scan_6,197.443
484,TMS14F1292P0022,7,scan_7,162.607
485,TMS14F1292P0022,8,scan_8,165.315
486,TMS14F1292P0022,9,scan_9,145.477
487,TMS14F1292P0022,10,scan_10,161.115
488,TMS14F1297P0019,1,scan_1,220.022
489,TMS14F1297P0019,2,scan_2,211.036
490,TMS14F1297P0019,3,scan_3,190.769
491,TMS14F1297P0019,4,scan_4,233.991
492,TMS14F1297P0019,5,scan_5,194.073
493,TMS14F1297P0019,6,scan_6,185.861
494,TMS14F1297P0019,7,scan_7,170.269
495,TMS14F1297P0019,8,scan_8,174.97
496,TMS14F1297P0019,9,scan_9,181.83
497,TMS14F1297P0019,10,scan_10,199.984
498,TMS14F1299P0007,1,scan_1,179.824
499,TMS14F1299P0007,2,scan_2,230.331
500,TMS14F1299P0007,3,scan_3,240.926
501,TMS14F1299P0007,4,scan_4,178.234
502,TMS14F1299P0007,5,scan_5,201.08
503,TMS14F1299P0007,6,scan_6,156.086
504,TMS14F1299P0007,7,scan_7,185.569
505,TMS14F1299P0007,8,scan_8,208.511
506,TMS14F1299P0007,9,scan_9,205.932
507,TMS14F1300P0002,1,scan_1,139.927
508,TMS14F1300P0002,2,scan_2,116.397
509,TMS14F1300P0002,3,scan_3,110.979
510,TMS14F1300P0002,4,scan_4,193.92
511,TMS14F1300P0002,5,scan_5,162.759
512,TMS14F1300P0002,6,scan_6,168.528
513,TMS14F1300P0002,7,scan_7,153.692
514,TMS14F1300P0002,8,scan_8,136.695
515,TMS14F1300P0002,9,scan_9,157.187
516,TMS14F1300P0002,10,scan_10,116.906
517,TMS14F1300P0008,1,scan_1,184.75
518,TMS14F1300P0008,2,scan_2,173.669
519,TMS14F1300P0008,3,scan_3,162.673
520,TMS14F1300P0008,4,scan_4,218.68
521,TMS14F1300P0008,5,scan_5,179.362
522,TMS14F1300P0008,6,scan_6,237.255
523,TMS14F1300P0008,7,scan_7,219.525
524,TMS14F1300P0008,8,scan_8,153.111
525,TMS14F1300P0008,9,scan_9,215.406
526,TMS14F1300P0008,10,scan_10,183.97
527,TMS14F1301P0004,1,scan_1,123.728
528,TMS14F1301P0004,2,scan_2,166.062
529,TMS14F1301P0004,3,scan_3,159.962
530,TMS14F1301P0004,4,scan_4,145.798
531,TMS14F1301P0004,5,scan_5,167.096
532,TMS14F1301P0004,6,scan_6,174.272
533,TMS14F1301P0004,7,scan_7,170.513
534,TMS14F1301P0004,8,scan_8,199.715
535,TMS14F1301P0004,9,scan_9,115.009
536,TMS14F1301P0004,10,scan_10,158.312
537,TMS14F1301P0013,1,scan_1,121.596
538,TMS14F1301P0013,2,scan_2,114.645
539,TMS14F1301P0013,3,scan_3,110.139
540,TMS14F1301P0013,4,scan_4,118.517
541,TMS14F1301P0013,5,scan_5,131.233
542,TMS14F1301P0013,6,scan_6,138.436
543,TMS14F1301P0013,7,scan_7,142.32
544,TMS14F1301P0013,8,scan_8,110.334
545,TMS14F1301P0013,9,scan_9,158.254
546,TMS14F1301P0013,10,scan_10,162.826
547,TMS14F1303P0012,1,scan_1,211.693
548,TMS14F1303P0012,2,scan_2,199.872
549,TMS14F1303P0012,3,scan_3,140.701
550,TMS14F1303P0012,4,scan_4,193.484
551,TMS14F1303P0012,5,scan_5,256.381
552,TMS14F1303P0012,6,scan_6,235.647
553,TMS14F1303P0012,7,scan_7,213.2
554,TMS14F1303P0012,8,scan_8,151.548
