,accession_name,leaf_no,Slice,Total.Area
579,TMS14F1306P0020,4,scan_4,261.67
580,TMS14F1306P0020,5,scan_5,248.072
581,TMS14F1306P0020,6,scan_6,263.157
582,TMS14F1306P0020,7,scan_7,271.832
583,TMS14F1306P0020,8,scan_8,262.2
584,TMS14F1306P0020,9,scan_9,278.241
585,TMS14F1306P0020,10,scan_10,280.483
586,TMS14F1310P0004,1,scan_1,215.037
587,TMS14F1310P0004,2,scan_2,226.148
588,TMS14F1310P0004,3,scan_3,193.289
589,TMS14F1310P0004,4,scan_4,177.224
590,TMS14F1310P0004,5,scan_5,163.715
591,TMS14F1310P0004,6,scan_6,205.248
592,TMS14F1310P0004,7,scan_7,177.406
593,TMS14F1310P0004,8,scan_8,218.657
594,TMS14F1310P0004,9,scan_9,140.658
595,TMS14F1310P0004,10,scan_10,209.134
596,TMS14F1310P0015,1,scan_1,154.88
597,TMS14F1310P0015,2,scan_2,170.58
598,TMS14F1310P0015,3,scan_3,172.146
599,TMS14F1310P0015,4,scan_4,157.098
600,TMS14F1310P0015,5,scan_5,159.965
601,TMS14F1310P0015,6,scan_6,174.202
602,TMS14F1310P0015,7,scan_7,171.348
603,TMS14F1311P0002,2,scan_2,151.961
604,TMS14F1311P0002,3,scan_3,124.938
605,TMS14F1311P0002,4,scan_4,141.999
606,TMS14F1311P0002,5,scan_5,148.413
607,TMS14F1311P0002,6,scan_6,142.242
608,TMS14F1311P0002,7,scan_7,136.505
609,TMS14F1311P0002,8,scan_8,108.553
610,TMS14F1311P0002,9,scan_9,157.703
611,TMS14F1311P0002,10,scan_10,169.198
612,TMS14F1312P0003,1,scan_1,185.522
613,TMS14F1312P0003,2,scan_2,185.187
614,TMS14F1312P0003,3,scan_3,207.675
615,TMS14F1312P0003,4,scan_4,181.205
616,TMS14F1312P0003,5,scan_5,131.469
617,TMS14F1312P0003,7,scan_7,142.89
618,TMS14F1312P0003,8,scan_8,184.127
619,TMS14F1312P0003,9,scan_9,140.287
620,TMS14F1312P0003,10,scan_10,112.452
621,TMSF1291P0003,1,scan_1,292.509
622,TMSF1291P0003,2,scan_2,232.449
623,TMSF1291P0003,3,scan_3,250.821
624,TMSF1291P0003,4,scan_4,291.758
625,TMSF1291P0003,5,scan_5,320.294
626,TMSF1291P0003,6,scan_6,321.457
627,TMSF1291P0003,7,scan_7,300.926
628,TMSF1291P0003,8,scan_8,285.876
629,TMSF1291P0003,9,scan_9,290.135
630,TMSF1291P0003,10,scan_10,226.103
