leaf_name,plot_name,accession_name,plot_number,leaf_no,pedigree,block_number,rep_number,petiole length,leaf lobe length,leaf lobe width,lobe number
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_21,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,21,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_22,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,22,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_23,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,23,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_24,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,24,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_25,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,25,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_26,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,26,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_27,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,27,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_28,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,28,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_29,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,29,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101_30,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1288P0008_101,TMS14F1288P0008,101,30,IITA-TMS-IBA020540/IITA-TMS-IBA030055A,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_1,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,1,TMS13F1391P0039/TMS13F1333P0017,1,1,13.7,12,3.7,5
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_2,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,2,TMS13F1391P0039/TMS13F1333P0017,1,1,19,14,4,5
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_3,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,3,TMS13F1391P0039/TMS13F1333P0017,1,1,12.2,12,3.7,5
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_4,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,4,TMS13F1391P0039/TMS13F1333P0017,1,1,13.7,12,3.7,5
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_5,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,5,TMS13F1391P0039/TMS13F1333P0017,1,1,18,12.7,3.8,5
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_6,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,6,TMS13F1391P0039/TMS13F1333P0017,1,1,16,12.5,4.2,5
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_7,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,7,TMS13F1391P0039/TMS13F1333P0017,1,1,16.5,12,4,5
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_8,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,8,TMS13F1391P0039/TMS13F1333P0017,1,1,10.5,10,2.7,5
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_9,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,9,TMS13F1391P0039/TMS13F1333P0017,1,1,13.5,11.3,5,5
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_10,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,10,TMS13F1391P0039/TMS13F1333P0017,1,1,16.5,12.9,4,5
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_11,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,11,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_12,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,12,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_13,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,13,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_14,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,14,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_15,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,15,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_16,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,16,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_17,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,17,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_18,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,18,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_19,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,19,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_20,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,20,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_21,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,21,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_22,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,22,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_23,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,23,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_24,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,24,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_25,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,25,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_26,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,26,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_27,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,27,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_28,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,28,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_29,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,29,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102_30,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1125P0010_102,TMS14F1125P0010,102,30,TMS13F1391P0039/TMS13F1333P0017,1,1,,,,
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_1,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,1,TMS13F1088P0008/TMS13F1106P0006,1,1,10.3,12,3.5,4
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_2,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,2,TMS13F1088P0008/TMS13F1106P0006,1,1,13,13.7,4,3
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_3,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,3,TMS13F1088P0008/TMS13F1106P0006,1,1,10.5,11.5,3.5,5
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_4,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,4,TMS13F1088P0008/TMS13F1106P0006,1,1,13.5,13,3.5,4
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_5,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,5,TMS13F1088P0008/TMS13F1106P0006,1,1,7.7,11.5,3.5,3
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_6,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,6,TMS13F1088P0008/TMS13F1106P0006,1,1,9,12.2,3.8,4
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_7,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,7,TMS13F1088P0008/TMS13F1106P0006,1,1,9.5,10.8,3.2,3
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_8,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,8,TMS13F1088P0008/TMS13F1106P0006,1,1,11.6,10,3.3,3
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_9,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,9,TMS13F1088P0008/TMS13F1106P0006,1,1,9.4,12.5,3.5,3
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_10,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,10,TMS13F1088P0008/TMS13F1106P0006,1,1,11.1,11.5,3.3,5
2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103_11,2021-20.GS.C2.UYT.36.setB.IB-rep1-TMS14F1278P0003_103,TMS14F1278P0003,103,11,TMS13F1088P0008/TMS13F1106P0006,1,1,,,,
