leaf_name,plot_name,accession_name,plot_number,leaf_no,pedigree,block_number,rep_number,petiole length,leaf lobe length,leaf lobe width,lobe number
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_21,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,21,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_22,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,22,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_23,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,23,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_24,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,24,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_25,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,25,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_26,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,26,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_27,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,27,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_28,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,28,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_29,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,29,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101_30,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1223P0007_101,TMS14F1223P0007,101,30,TMS13F1106P0006/TMS13F1108P0007,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_1,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,1,TMS13F1101P0007/TMS13F1307P0020,1,1,19,12.5,4.7,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_2,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,2,TMS13F1101P0007/TMS13F1307P0020,1,1,18.2,12.5,4.8,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_3,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,3,TMS13F1101P0007/TMS13F1307P0020,1,1,18.5,12.2,4.8,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_4,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,4,TMS13F1101P0007/TMS13F1307P0020,1,1,16.2,12.3,4.8,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_5,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,5,TMS13F1101P0007/TMS13F1307P0020,1,1,12.5,11,4,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_6,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,6,TMS13F1101P0007/TMS13F1307P0020,1,1,18.2,12,4.8,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_7,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,7,TMS13F1101P0007/TMS13F1307P0020,1,1,14.2,11,4.3,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_8,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,8,TMS13F1101P0007/TMS13F1307P0020,1,1,21,12.5,4.7,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_9,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,9,TMS13F1101P0007/TMS13F1307P0020,1,1,19.5,12,4.4,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_10,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,10,TMS13F1101P0007/TMS13F1307P0020,1,1,14.5,11.5,4.5,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_11,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,11,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_12,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,12,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_13,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,13,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_14,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,14,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_15,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,15,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_16,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,16,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_17,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,17,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_18,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,18,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_19,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,19,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_20,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,20,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_21,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,21,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_22,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,22,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_23,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,23,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_24,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,24,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_25,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,25,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_26,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,26,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_27,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,27,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_28,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,28,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_29,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,29,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102_30,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1194P0002_102,TMS14F1194P0002,102,30,TMS13F1101P0007/TMS13F1307P0020,1,1,,,,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_1,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,1,TMS13F1106P0006/TMS13F1307P0020,1,1,21,14,4.4,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_2,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,2,TMS13F1106P0006/TMS13F1307P0020,1,1,23.8,13,4.3,
2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103_3,2021-20.GS.C2.UYT.36.setA.IB-rep1-TMS14F1195P0005_103,TMS14F1195P0005,103,3,TMS13F1106P0006/TMS13F1307P0020,1,1,22.2,13.5,4.1,
