Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,55,111.815,2.033,17.945,255
scan_2,60,126.065,2.101,20.232,255
scan_3,49,129.569,2.644,20.795,255
scan_4,50,136.144,2.723,21.850,255
scan_5,63,98.277,1.560,15.773,255
scan_7,55,135.495,2.464,21.746,255
scan_8,63,98.981,1.571,15.886,255
scan_9,59,117.079,1.984,18.790,255
scan_10,53,145.878,2.752,23.412,255
