Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,65,122.832,1.890,19.713,255
scan_2,65,118.706,1.826,19.051,255
scan_3,70,113.788,1.626,18.262,255
scan_4,61,107.395,1.761,17.236,255
scan_5,52,147.948,2.845,23.744,255
scan_6,55,152.537,2.773,24.481,255
scan_7,56,123.748,2.210,19.860,255
scan_8,64,127.649,1.995,20.486,255
scan_9,57,116.725,2.048,18.733,255
scan_10,62,103.278,1.666,16.575,255
