Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,25,168.539,6.742,27.049,255
scan_2,33,138.283,4.190,22.193,255
scan_3,30,149.423,4.981,23.981,255
scan_4,47,156.368,3.327,25.096,255
scan_5,30,170.519,5.684,27.367,255
scan_6,31,120.210,3.878,19.293,255
scan_7,34,161.760,4.758,25.961,255
scan_8,37,137.451,3.715,22.060,255
scan_9,26,157.337,6.051,25.251,255
scan_10,39,142.772,3.661,22.914,255
