Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,34,236.378,6.952,37.936,255
scan_2,32,243.971,7.624,39.155,255
scan_3,28,251.661,8.988,40.389,255
scan_4,37,225.481,6.094,36.188,255
scan_5,31,231.772,7.477,37.197,255
scan_6,34,287.914,8.468,46.207,255
scan_7,28,260.515,9.304,41.810,255
scan_8,33,222.159,6.732,35.654,255
scan_9,31,239.370,7.722,38.417,255
scan_10,30,212.245,7.075,34.063,255
