Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,37,225.077,6.083,36.123,255
scan_2,46,97.122,2.111,15.587,255
scan_3,47,154.701,3.292,24.828,255
scan_4,47,112.273,2.389,18.019,255
scan_5,35,147.071,4.202,23.604,255
scan_6,49,164.999,3.367,26.481,255
scan_7,48,141.534,2.949,22.715,255
scan_8,40,180.966,4.524,29.043,255
scan_9,36,223.848,6.218,35.925,255
scan_10,46,124.270,2.702,19.944,255
