Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,45,129.151,2.870,20.728,255
scan_2,54,95.995,1.778,15.406,255
scan_3,51,146.010,2.863,23.433,255
scan_4,49,108.092,2.206,17.348,255
scan_5,51,126.966,2.490,20.377,255
scan_6,55,130.606,2.375,20.961,255
scan_7,51,115.381,2.262,18.518,255
scan_8,46,126.715,2.755,20.336,255
scan_9,44,140.817,3.200,22.600,255
scan_10,47,115.418,2.456,18.524,255
