Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,41,112.060,2.733,17.985,255
scan_2,47,112.712,2.398,18.089,255
scan_3,44,122.680,2.788,19.689,255
scan_4,40,121.223,3.031,19.455,255
scan_5,38,127.449,3.354,20.454,255
scan_6,32,119.353,3.730,19.155,255
scan_7,33,168.886,5.118,27.105,255
scan_8,36,181.935,5.054,29.199,255
scan_10,31,155.953,5.031,25.029,255
