Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,41,197.658,4.821,31.722,255
scan_2,33,179.074,5.426,28.740,255
scan_3,28,217.296,7.761,34.874,255
scan_4,31,209.962,6.773,33.697,255
scan_5,31,175.345,5.656,28.141,255
scan_6,28,216.358,7.727,34.723,255
scan_7,39,147.911,3.793,23.738,255
scan_8,36,203.160,5.643,32.605,255
scan_9,69,146.843,2.128,23.567,255
scan_10,24,246.611,10.275,39.579,255
