Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,23,256.842,11.167,41.221,255
scan_2,27,192.330,7.123,30.867,255
scan_3,22,233.144,10.597,37.417,255
scan_4,17,289.306,17.018,46.431,255
scan_5,23,316.470,13.760,50.790,255
scan_6,28,269.020,9.608,43.175,255
scan_7,18,317.040,17.613,50.882,255
scan_8,20,295.385,14.769,47.406,255
scan_9,24,282.331,11.764,45.311,255
scan_10,18,222.861,12.381,35.767,255
