Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,72,73.294,1.018,11.763,255
scan_2,55,106.430,1.935,17.081,255
scan_3,56,114.756,2.049,18.417,255
scan_4,56,95.268,1.701,15.290,255
scan_5,56,129.971,2.321,20.859,255
scan_6,59,134.120,2.273,21.525,255
scan_7,65,93.785,1.443,15.052,255
scan_8,61,92.059,1.509,14.775,255
scan_9,91,112.096,1.232,17.990,255
