Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,63,145.952,2.317,23.424,255
scan_2,50,160.491,3.210,25.757,255
scan_3,47,166.308,3.538,26.691,255
scan_4,50,131.689,2.634,21.135,255
scan_5,50,168.464,3.369,27.037,255
scan_6,73,87.984,1.205,14.121,255
scan_7,69,91.048,1.320,14.612,255
scan_8,55,124.884,2.271,20.043,255
scan_9,56,123.546,2.206,19.828,255
scan_10,52,143.900,2.767,23.095,255
