Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,42,220.022,5.239,35.311,255
scan_2,32,211.036,6.595,33.869,255
scan_3,48,190.769,3.974,30.617,255
scan_4,45,233.991,5.200,37.553,255
scan_5,40,194.073,4.852,31.147,255
scan_6,39,185.861,4.766,29.829,255
scan_7,68,170.269,2.504,27.327,255
scan_8,49,174.970,3.571,28.081,255
scan_9,42,181.830,4.329,29.182,255
scan_10,41,199.984,4.878,32.096,255
