Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,28,299.012,10.679,47.989,255
scan_2,30,294.571,9.819,47.276,255
scan_3,30,320.486,10.683,51.435,255
scan_4,32,318.194,9.944,51.067,255
scan_5,25,311.490,12.460,49.991,255
scan_6,22,330.134,15.006,52.983,255
scan_7,31,310.548,10.018,49.840,255
scan_8,23,316.736,13.771,50.833,255
scan_9,25,315.251,12.610,50.595,255
scan_10,32,316.402,9.888,50.780,255
