Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,31,292.509,9.436,46.945,255
scan_2,47,232.449,4.946,37.306,255
scan_3,38,250.821,6.601,40.254,255
scan_4,36,291.758,8.104,46.824,255
scan_5,39,320.294,8.213,51.404,255
scan_6,37,321.457,8.688,51.591,255
scan_7,35,300.926,8.598,48.296,255
scan_8,33,285.876,8.663,45.880,255
scan_9,38,290.135,7.635,46.564,255
scan_10,36,226.103,6.281,36.287,255
