Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,43,185.522,4.314,29.774,255
scan_2,43,185.187,4.307,29.721,255
scan_3,42,207.675,4.945,33.330,255
scan_4,43,181.205,4.214,29.082,255
scan_5,55,131.469,2.390,21.100,255
scan_7,46,142.890,3.106,22.933,255
scan_8,42,184.127,4.384,29.551,255
scan_9,40,140.287,3.507,22.515,255
scan_10,65,112.452,1.730,18.047,255
