Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,49,180.524,3.684,28.972,255
scan_2,56,113.776,2.032,18.260,255
scan_3,63,84.018,1.334,13.484,255
scan_4,50,145.711,2.914,23.385,255
scan_5,43,232.825,5.415,37.366,255
scan_6,52,176.918,3.402,28.394,255
scan_7,60,132.370,2.206,21.244,255
scan_8,57,126.182,2.214,20.251,255
scan_9,52,180.410,3.469,28.954,255
scan_10,56,138.923,2.481,22.296,255
