Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,46,146.036,3.175,23.437,255
scan_2,51,166.901,3.273,26.786,255
scan_3,53,157.666,2.975,25.304,255
scan_4,48,119.821,2.496,19.230,255
scan_5,54,115.011,2.130,18.458,255
scan_6,55,108.272,1.969,17.377,255
scan_7,61,96.503,1.582,15.488,255
scan_8,56,151.419,2.704,24.301,255
scan_9,46,127.037,2.762,20.388,255
scan_10,47,131.953,2.808,21.177,255
