Slice,Count,Total Area,Average Size,%Area,Mean
scan_1,32,181.950,5.686,29.201,255
scan_2,28,199.630,7.130,32.039,255
scan_3,24,269.789,11.241,43.298,255
scan_4,33,222.392,6.739,35.692,255
scan_5,28,253.046,9.037,40.611,255
scan_6,31,236.050,7.615,37.884,255
scan_7,25,243.353,9.734,39.056,255
scan_8,29,230.217,7.939,36.948,255
scan_9,33,218.162,6.611,35.013,255
scan_10,22,273.490,12.431,43.892,255
