*Soil Carbon Balance Summary

*DSSAT Cropping System Model Ver. 4.8.0.019 -develop  DEC 23, 2021 14:23:35
!                             <----------- Initial State Variables ----------><------------ Final State Variables -----------><------------ Added -----------><-Lost-><-Balance>
!                             <-------- SOM-C -------><-------- FOM-C -------><-------- SOM-C -------><-------- FOM-C -------><---OM---><Senesced><--HarvRes-><--CO2->
!                                     Surf        Soil        Surf        Soil        Surf        Soil        Surf        Soil 
@Run FILEX               TN CR       SC0Di      SOMCTi       LC0Di       LCTDi        SC0D       SOMCT        LC0D        LCTD      OMAC     SENCC      HRCH     CO2TC    CUMBAL
  39 UYAG1701.CSX        39 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  40 UYAG1701.CSX        40 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  41 UYAG1701.CSX        41 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  42 UYAG1701.CSX        42 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  43 UYAG1701.CSX        43 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  44 UYAG1701.CSX        44 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  45 UYAG1701.CSX        45 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  46 UYAG1701.CSX        46 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  47 UYAG1701.CSX        47 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  48 UYAG1701.CSX        48 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  49 UYAG1701.CSX        49 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  50 UYAG1701.CSX        50 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  51 UYAG1701.CSX        51 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  52 UYAG1701.CSX        52 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  53 UYAG1701.CSX        53 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  54 UYAG1701.CSX        54 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  55 UYAG1701.CSX        55 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  56 UYAG1701.CSX        56 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  57 UYAG1701.CSX        57 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  58 UYAG1701.CSX        58 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  59 UYAG1701.CSX        59 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  60 UYAG1701.CSX        60 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  61 UYAG1701.CSX        61 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  62 UYAG1701.CSX        62 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  63 UYAG1701.CSX        63 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  64 UYAG1701.CSX        64 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  65 UYAG1701.CSX        65 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  66 UYAG1701.CSX        66 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
  67 UYAG1701.CSX        67 CS        0.00    93798.50        0.00        0.00        0.00    92383.59      634.47      469.37      0.00   1103.84      0.00   1414.93      0.02
